label	arm	cell	depth	asked	wall_ms	mb_per_s	delivered	failed	sock_drops	rcvbuf_drops	in_datagrams	srv_ms	ns_main_ms	ns_io_ms	rend_main_ms	rend_other_ms	chrome_other_ms	heap_peak_mb
r1	shared	ondemand	1	320	717	111.6	320	0	0	0	62228	215.8	0.0	548.1	263.1	108.0	29.6	59.6
r1	perframe	ondemand	1	320	967	82.7	320	0	0	0	62197	231.7	0.0	764.8	309.9	148.2	31.7	71.2
r1	sw768k	ondemand	1	320	730	109.6	320	0	0	0	62223	225.4	0.0	556.9	278.7	99.2	32.1	57.1
r1	seg10	ondemand	1	320	699	114.4	320	0	0	0	62224	222.0	0.0	540.7	264.0	107.7	28.5	62.0
r2	seg10	ondemand	1	320	679	117.8	320	0	0	0	62226	217.4	0.0	523.3	269.9	88.6	27.5	62.1
r2	sw768k	ondemand	1	320	713	112.2	320	0	0	0	62222	204.6	0.0	541.4	264.5	103.1	28.3	61.3
r2	perframe	ondemand	1	320	1049	76.3	320	0	0	0	62195	234.9	0.0	836.2	325.9	144.8	31.5	70.1
r2	shared	ondemand	1	320	707	113.2	320	0	0	0	62228	204.4	0.0	527.9	255.8	114.9	27.9	61.9
r3	shared	ondemand	1	320	697	114.8	320	0	0	0	62218	200.5	0.0	533.0	258.8	98.2	26.9	62.8
r3	perframe	ondemand	1	320	899	89.0	320	0	0	0	62196	212.7	0.0	708.6	284.5	134.1	31.2	67.3
r3	sw768k	ondemand	1	320	697	114.8	320	0	0	0	62225	196.6	0.0	528.7	259.9	99.8	27.9	62.6
r3	seg10	ondemand	1	320	692	115.6	320	0	0	0	62224	213.4	0.0	535.0	260.3	99.8	27.5	62.9
r4	seg10	ondemand	1	320	691	115.8	320	0	0	0	62218	209.3	0.0	532.5	260.3	99.0	27.8	62.4
r4	sw768k	ondemand	1	320	692	115.6	320	0	0	0	62224	196.2	0.0	532.4	251.5	98.9	26.8	63.4
r4	perframe	ondemand	1	320	949	84.3	320	0	0	0	62195	233.3	0.0	754.3	301.4	143.7	30.4	62.1
r4	shared	ondemand	1	320	697	114.8	320	0	0	0	62224	200.9	0.0	535.8	263.5	90.0	27.4	62.9
r5	shared	ondemand	1	320	721	111.0	320	0	0	0	62223	210.3	0.0	545.5	275.4	108.1	32.3	57.6
r5	perframe	ondemand	1	320	898	89.1	320	0	0	0	62193	223.2	0.0	709.2	301.8	113.0	31.3	67.3
r5	sw768k	ondemand	1	320	725	110.3	320	0	0	0	62215	202.1	0.0	550.8	272.2	102.0	32.7	56.6
r5	seg10	ondemand	1	320	691	115.8	320	0	0	0	62224	211.6	0.0	532.7	265.4	104.5	30.0	62.9
r6	seg10	ondemand	1	320	673	118.9	320	0	0	0	62226	208.3	0.0	530.2	256.2	90.8	27.8	64.2
r6	sw768k	ondemand	1	320	707	113.2	320	0	0	0	62225	197.9	0.0	539.7	262.9	98.4	29.8	60.4
r6	perframe	ondemand	1	320	889	90.0	320	0	0	0	62192	219.5	0.0	694.9	306.4	117.2	30.5	66.8
r6	shared	ondemand	1	320	691	115.8	320	0	0	0	62220	200.0	0.0	533.1	256.4	87.0	28.7	62.8
