label	arm	cell	depth	asked	wall_ms	mb_per_s	delivered	failed	sock_drops	rcvbuf_drops	in_datagrams	srv_ms	ns_main_ms	ns_io_ms	rend_main_ms	rend_other_ms	chrome_other_ms	heap_peak_mb
r1	shared	fill	1	800	228	112.3	800	0	1498	1498	23396	105.6	0.0	218.7	104.1	39.2	22.4	25.8
r1	pool2	fill	1	800	187	136.9	800	0	1437	1437	23558	101.5	0.0	177.9	101.0	41.3	22.2	35.6
r1	pool4	fill	1	800	167	153.3	800	0	1159	1159	19847	90.1	0.0	157.5	103.1	42.2	20.8	37.1
r1	perframe	fill	1	800	489	52.4	800	0	1370	1370	19901	112.5	0.0	484.2	245.3	103.3	27.5	47.4
r1	sw768k	fill	1	800	161	159.0	800	0	0	0	20604	90.1	0.0	157.4	99.0	41.7	21.8	32.9
r1	seg10	fill	1	800	163	157.1	800	0	1355	1355	19832	90.7	0.0	154.9	98.7	50.0	23.4	32.8
r1	rmem212k	fill	1	800	196	130.6	800	0	787	787	23915	107.1	0.0	186.9	104.7	42.1	22.8	33.1
r2	rmem212k	fill	1	800	194	132.0	800	0	335	335	23918	103.2	0.0	188.1	105.2	52.5	21.7	33.3
r2	seg10	fill	1	800	161	159.0	800	0	1421	1421	19836	92.9	0.0	154.1	95.7	45.8	21.9	32.4
r2	sw768k	fill	1	800	199	128.6	800	0	0	0	20847	99.1	0.0	189.3	113.5	54.3	23.8	31.2
r2	perframe	fill	1	800	475	53.9	800	0	839	839	19924	117.1	0.0	470.5	254.9	117.9	26.2	47.1
r2	pool4	fill	1	800	175	146.3	800	0	1173	1173	19839	96.9	0.0	169.5	116.4	48.8	24.3	37.9
r2	pool2	fill	1	800	164	156.1	800	0	1752	1752	19845	91.9	0.0	154.1	106.6	56.1	22.2	34.0
r2	shared	fill	1	800	180	142.2	800	0	1942	1942	23341	99.2	0.0	171.1	99.1	55.1	22.3	32.9
r3	shared	fill	1	800	176	145.5	800	0	1821	1821	23172	108.5	0.0	165.7	114.1	54.8	25.2	31.4
r3	pool2	fill	1	800	141	181.6	800	0	1355	1355	19844	97.4	0.0	135.8	114.1	41.7	24.9	34.7
r3	pool4	fill	1	800	164	156.1	800	0	1287	1287	19845	93.7	0.0	158.7	113.7	45.1	22.1	37.6
r3	perframe	fill	1	800	467	54.8	800	0	1166	1166	19924	110.2	0.0	462.2	257.2	110.0	25.7	47.2
r3	sw768k	fill	1	800	177	144.6	800	0	0	0	20645	97.0	0.0	162.8	107.2	59.0	23.5	30.3
r3	seg10	fill	1	800	167	153.3	800	0	1603	1603	19845	95.5	0.0	145.5	113.4	56.5	24.0	48.2
r3	rmem212k	fill	1	800	199	128.6	800	0	536	536	23929	111.0	0.0	189.7	103.6	54.3	21.6	33.3
r4	rmem212k	fill	1	800	191	134.0	800	0	338	338	23883	105.8	0.0	182.3	103.8	47.1	21.7	33.5
r4	seg10	fill	1	800	186	137.6	800	0	1389	1389	23563	105.0	0.0	181.1	101.1	46.4	23.2	32.6
r4	sw768k	fill	1	800	163	157.1	800	0	0	0	20824	90.6	0.0	160.2	98.7	39.3	21.0	33.1
r4	perframe	fill	1	800	450	56.9	800	0	911	911	19900	103.5	0.0	446.2	252.5	111.3	25.5	38.1
r4	pool4	fill	1	800	167	153.3	800	0	1311	1311	19854	92.4	0.0	159.6	111.8	50.1	22.8	37.4
r4	pool2	fill	1	800	164	156.1	800	0	1057	1057	19838	92.3	0.0	158.0	98.5	43.9	22.5	34.4
r4	shared	fill	1	800	196	130.6	800	0	1465	1465	23561	107.5	0.0	189.8	97.1	55.6	22.8	32.7
r5	shared	fill	1	800	162	158.0	800	0	1846	1846	19839	92.0	0.0	153.0	94.5	52.9	21.2	33.3
r5	pool2	fill	1	800	164	156.1	800	0	1301	1301	19837	90.6	0.0	157.9	101.6	38.7	22.6	34.8
r5	pool4	fill	1	800	167	153.3	800	0	1508	1508	19839	88.1	0.0	161.3	109.5	46.3	22.1	37.2
r5	perframe	fill	1	800	503	50.9	800	0	915	915	19930	112.1	0.0	499.1	259.5	110.4	25.7	46.2
r5	sw768k	fill	1	800	167	153.3	800	0	0	0	20599	90.1	0.0	164.2	97.4	38.9	21.4	32.3
r5	seg10	fill	1	800	177	144.6	800	0	2489	2489	23455	101.6	0.0	157.8	100.7	42.1	22.1	31.1
r5	rmem212k	fill	1	800	193	132.6	800	0	338	338	23900	101.7	0.0	188.3	104.7	39.5	22.1	33.7
r6	rmem212k	fill	1	800	170	150.6	800	0	150	150	19825	86.5	0.0	163.2	97.7	43.9	22.9	32.9
r6	seg10	fill	1	800	190	134.7	800	0	1856	1856	23519	99.3	0.0	185.1	105.5	55.6	23.5	32.7
r6	sw768k	fill	1	800	170	150.6	800	0	0	0	20879	96.1	0.0	167.3	101.3	51.2	22.5	33.2
r6	perframe	fill	1	800	526	48.7	800	0	1264	1264	23528	123.7	0.0	521.0	265.6	115.7	25.8	42.4
r6	pool4	fill	1	800	169	151.5	800	0	1005	1005	19838	94.5	0.0	160.2	108.8	53.2	21.6	37.9
r6	pool2	fill	1	800	199	128.6	800	0	1538	1538	23563	103.8	0.0	192.1	107.7	53.8	22.7	35.3
r6	shared	fill	1	800	172	148.8	800	0	1067	1067	19835	95.4	0.0	166.0	101.3	45.3	27.0	32.4
