metric                      shared       pool2       pool4    perframe      sw768k       seg10    rmem212k               Δ pool2               Δ pool4            Δ perframe              Δ sw768k               Δ seg10            Δ rmem212k
mb_per_s                    143.85      156.10      153.30       53.15      151.95      148.95      132.30    +14.7% 2/6 lower     +5.1% 1/6 lower    -62.2% 6/6 lower     +0.3% 3/6 lower     +5.4% 2/6 lower     -3.0% 3/6 lower
us_per_ask                  222.50      205.00      208.75      602.50      210.62      215.00      241.88    -12.6% 4/6 lower     -4.8% 5/6 lower   +164.6% 0/6 lower     -0.3% 3/6 lower     -5.1% 4/6 lower     +3.3% 3/6 lower
sock_drops                 1659.50     1396.00     1230.00     1040.50        0.00     1512.00      338.00    -17.7% 5/6 lower    -20.5% 6/6 lower    -36.9% 5/6 lower   -100.0% 6/6 lower     -7.4% 4/6 lower    -79.3% 6/6 lower
srv_ms_per_mb                 4.00        3.71        3.63        4.39        3.65        3.80        4.08     -5.6% 5/6 lower     -8.9% 6/6 lower    +12.3% 1/6 lower     -6.3% 5/6 lower     -4.3% 4/6 lower     +1.9% 2/6 lower
ns_io_ms_per_mb               6.58        6.17        6.25       18.65        6.39        6.11        7.32    -13.3% 4/6 lower     -3.9% 5/6 lower   +177.0% 0/6 lower     -0.5% 3/6 lower     -7.3% 4/6 lower     +4.1% 3/6 lower
rend_main_ms_per_mb           3.91        4.07        4.32       10.00        3.91        3.94        4.07     +3.9% 1/6 lower    +11.3% 2/6 lower   +158.6% 0/6 lower     +0.8% 2/6 lower     +1.8% 3/6 lower     +3.4% 2/6 lower
rend_other_ms_per_mb          2.10        1.67        1.86        4.33        1.81        1.88        1.78     -9.6% 3/6 lower    -10.7% 4/6 lower   +111.3% 0/6 lower     +2.5% 3/6 lower     -6.7% 3/6 lower     -3.9% 5/6 lower
heap_peak_mb                 32.55       34.75       37.50       46.65       32.60       32.65       33.30     +7.1% 0/6 lower    +16.1% 0/6 lower    +40.9% 0/6 lower     -0.9% 3/6 lower     +0.3% 3/6 lower     +2.0% 0/6 lower
