metric                      shared    perframe      sw768k       seg10            Δ perframe              Δ sw768k               Δ seg10
mb_per_s                    114.00       86.65      112.70      115.80    -24.2% 6/6 lower     -0.8% 4/6 lower     +2.6% 0/6 lower
us_per_ask                 2193.75     2887.50     2218.75     2159.38    +31.9% 0/6 lower     +0.7% 1/6 lower     -2.6% 6/6 lower
sock_drops                    0.00        0.00        0.00        0.00                   n/a                   n/a                   n/a
srv_ms_per_mb                 2.53        2.84        2.50        2.66     +8.6% 0/6 lower     -1.5% 4/6 lower     +4.2% 0/6 lower
ns_io_ms_per_mb               6.68        9.15        6.76        6.66    +36.2% 0/6 lower     +1.1% 2/6 lower     -0.7% 5/6 lower
rend_main_ms_per_mb           3.26        3.80        3.30        3.28    +16.1% 0/6 lower     +1.5% 2/6 lower     +0.1% 3/6 lower
rend_other_ms_per_mb          1.29        1.74        1.24        1.24    +35.6% 0/6 lower     -2.0% 3/6 lower     +0.7% 3/6 lower
heap_peak_mb                 62.35       67.30       60.85       62.65    +10.2% 1/6 lower     -1.4% 5/6 lower     +1.3% 1/6 lower
