# callgrind: exact-server (HEAD fb26f7d, release+debuginfo), frames_32k-shared, one saturate harness D=4, ~6 s under valgrind
244,372,104 (100.0%)  PROGRAM TOTALS
52,678,856 (21.56%)  ring-0.17.14/pregenerated/aesni-gcm-x86_64-elf.S:_aesni_ctr32_ghash_6x [/tmp/claude-0/-home-user-wt-pacs/4388fb8e-14c3-
34,290,585 (14.03%)  ./string/../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S:__memcpy_avx_unaligned_erms [/usr/lib/x86_64-linux-gn
 7,792,296 ( 3.19%)  ring-0.17.14/pregenerated/aesni-x86_64-elf.S:ring_core_0_17_14__aes_hw_ctr32_encrypt_blocks [/tmp/claude-0/-home-user-w
 7,266,876 ( 2.97%)  quinn-proto-0.11.17/src/connection/mod.rs:quinn_proto::connection::Connection::poll_transmit [/tmp/claude-0/-home-user-
 6,085,296 ( 2.49%)  ring-0.17.14/pregenerated/aesni-gcm-x86_64-elf.S:_aesni_ctr32_6x [/tmp/claude-0/-home-user-wt-pacs/4388fb8e-14c3-5912-8
 5,245,674 ( 2.15%)  ring-0.17.14/pregenerated/ghash-x86_64-elf.S:ring_core_0_17_14__gcm_ghash_avx [/tmp/claude-0/-home-user-wt-pacs/4388fb8
 3,985,165 ( 1.63%)  ring-0.17.14/pregenerated/aesni-gcm-x86_64-elf.S:ring_core_0_17_14__aesni_gcm_encrypt [/tmp/claude-0/-home-user-wt-pacs
 2,304,892 ( 0.94%)  ring-0.17.14/pregenerated/aesni-x86_64-elf.S:_aesni_encrypt8 [/tmp/claude-0/-home-user-wt-pacs/4388fb8e-14c3-5912-8315-
 2,273,706 ( 0.93%)  quinn-proto-0.11.17/src/connection/packet_builder.rs:quinn_proto::connection::packet_builder::PacketBuilder::new [/tmp/
 1,912,294 ( 0.78%)  quinn-proto-0.11.17/src/connection/streams/state.rs:quinn_proto::connection::streams::state::StreamsState::write_stream
 1,868,076 ( 0.76%)  alloc/src/collections/btree/node.rs:alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<al
 1,781,310 ( 0.73%)  ./malloc/./malloc/malloc.c:_int_malloc [/usr/lib/x86_64-linux-gnu/libc.so.6]
 1,705,639 ( 0.70%)  core/src/option.rs:quinn_proto::connection::Connection::poll_transmit
 1,518,611 ( 0.62%)  alloc/src/collections/btree/search.rs:alloc::collections::btree::navigate::<impl alloc::collections::btree::node::NodeR
 1,416,198 ( 0.58%)  quinn-proto-0.11.17/src/connection/packet_builder.rs:quinn_proto::connection::packet_builder::PacketBuilder::finish_and
 1,353,783 ( 0.55%)  alloc/src/collections/btree/map/entry.rs:alloc::collections::btree::map::entry::VacantEntry<K,V,A>::insert_entry [/tmp/
 1,323,929 ( 0.54%)  alloc/src/collections/btree/remove.rs:alloc::collections::btree::remove::<impl alloc::collections::btree::node::Handle<
 1,317,100 ( 0.54%)  quinn-proto-0.11.17/src/connection/mod.rs:quinn_proto::connection::Connection::on_packet_acked [/tmp/claude-0/-home-use
 1,262,332 ( 0.52%)  alloc/src/collections/btree/map/entry.rs:alloc::collections::btree::map::entry::OccupiedEntry<K,V,A>::remove_kv [/tmp/c
 1,191,772 ( 0.49%)  quinn-proto-0.11.17/src/packet.rs:quinn_proto::packet::Header::encode [/tmp/claude-0/-home-user-wt-pacs/4388fb8e-14c3-5
 1,146,282 ( 0.47%)  ./string/../sysdeps/x86_64/multiarch/memset-vec-unaligned-erms.S:__memset_avx2_unaligned_erms [/usr/lib/x86_64-linux-gn
 1,112,862 ( 0.46%)  quinn-proto-0.11.17/src/connection/mod.rs:quinn_proto::connection::Connection::pto_time_and_space [/tmp/claude-0/-home-
 1,106,706 ( 0.45%)  quinn-proto-0.11.17/src/range_set/array_range_set.rs:quinn_proto::range_set::array_range_set::ArrayRangeSet::insert [/t
 1,090,152 ( 0.45%)  quinn-udp-0.5.15/src/unix.rs:quinn_udp::imp::UdpSocketState::recv [/tmp/claude-0/-home-user-wt-pacs/4388fb8e-14c3-5912-
 1,068,082 ( 0.44%)  quinn-udp-0.5.15/src/lib.rs:quinn::endpoint::RecvState::poll_socket
   981,485 ( 0.40%)  ./malloc/./malloc/malloc.c:_int_free [/usr/lib/x86_64-linux-gnu/libc.so.6]
   953,430 ( 0.39%)  quinn-proto-0.11.17/src/connection/packet_builder.rs:quinn_proto::connection::packet_builder::PacketBuilder::finish [/t
   947,772 ( 0.39%)  core/src/iter/adapters/chain.rs:<core::iter::adapters::chain::Chain<A,B> as core::iter::traits::iterator::Iterator>::tr
   920,640 ( 0.38%)  quinn-proto-0.11.17/src/connection/spaces.rs:quinn_proto::connection::Connection::poll_transmit
   919,692 ( 0.38%)  quinn-proto-0.11.17/src/connection/mod.rs:quinn_proto::connection::Connection::on_ack_received [/tmp/claude-0/-home-use
   862,768 ( 0.35%)  quinn-proto-0.11.17/src/connection/mod.rs:quinn_proto::connection::Connection::space_can_send [/tmp/claude-0/-home-user

# app / tokio / serde symbols (self, any share)
