arm	fixture	stream_mode	depth	run	mbps	frames	bytes	srv_cpu_s	srv_rss_kb	cpu_s_per_gb
D5_ackfreq	frames_250k	shared	16	1	1972.33	5917	1479273668	4.130	27828	2.788
D5_ackfreq	frames_250k	shared	16	2	1932.33	5797	1449273188	4.120	27772	2.839
D5_ackfreq	frames_250k	shared	16	3	1966.33	5899	1474773596	4.130	27716	2.797
D6_bbr	frames_250k	shared	16	1	1789.33	5368	1342021472	4.020	27788	2.990
D6_bbr	frames_250k	shared	16	2	1766.33	5299	1324771196	4.030	27776	3.039
D6_bbr	frames_250k	shared	16	3	1808.67	5426	1356521704	4.010	27700	2.951
D7_sockbuf_8m	frames_250k	shared	16	1	1841.67	5525	1381272100	4.110	27824	2.972
D7_sockbuf_8m	frames_250k	shared	16	2	1866.67	5600	1400022400	4.130	27780	2.946
D7_sockbuf_8m	frames_250k	shared	16	3	1888.67	5666	1416522664	4.130	27864	2.913
D1_gso_off	frames_32k	shared	16	1	3536.67	10610	339562440	4.190	10256	12.330
D1_gso_off	frames_32k	shared	16	2	3640.67	10922	349547688	4.270	10320	12.208
D1_gso_off	frames_32k	shared	16	3	3465.33	10396	332713584	4.170	10264	12.522
D2_srw_8m	frames_32k	shared	16	1	6334.00	19002	608140008	3.050	10376	5.015
D2_srw_8m	frames_32k	shared	16	2	6369.00	19107	611500428	3.070	10544	5.020
D2_srw_8m	frames_32k	shared	16	3	6377.67	19133	612332532	3.040	10400	4.962
D3_sendwin_64m	frames_32k	shared	16	1	6307.67	18923	605611692	3.160	10412	5.218
D3_sendwin_64m	frames_32k	shared	16	2	6298.00	18894	604683576	3.110	10456	5.143
D3_sendwin_64m	frames_32k	shared	16	3	6297.33	18892	604619568	3.180	10396	5.260
D4_mtu1452	frames_32k	shared	16	1	6325.00	18975	607275900	3.170	10384	5.220
D4_mtu1452	frames_32k	shared	16	2	6412.33	19237	615660948	3.040	10440	4.938
D4_mtu1452	frames_32k	shared	16	3	6463.00	19389	620525556	3.050	10436	4.915
D5_ackfreq	frames_32k	shared	16	1	6395.33	19186	614028744	3.120	10408	5.080
D5_ackfreq	frames_32k	shared	16	2	6288.67	18866	603787464	3.120	10424	5.167
D5_ackfreq	frames_32k	shared	16	3	6396.00	19188	614092752	3.110	10568	5.064
D6_bbr	frames_32k	shared	16	1	6131.00	18393	588649572	3.010	10348	5.113
D6_bbr	frames_32k	shared	16	2	6054.33	18163	581288652	3.020	10472	5.195
D6_bbr	frames_32k	shared	16	3	6024.67	18074	578440296	3.080	10416	5.323
D7_sockbuf_8m	frames_32k	shared	16	1	6476.33	19429	621805716	3.060	10516	4.921
D7_sockbuf_8m	frames_32k	shared	16	2	6444.00	19332	618701328	3.040	10372	4.914
D7_sockbuf_8m	frames_32k	shared	16	3	6417.33	19252	616141008	3.090	10532	5.015
E_pf_fair_on	frames_250k	per-frame	4	1	1265.00	3795	948765180	2.900	29172	3.057
E_pf_fair_on	frames_250k	per-frame	4	2	1268.33	3805	951265220	2.930	29060	3.080
E_pf_fair_on	frames_250k	per-frame	4	3	1254.67	3764	941015056	2.940	29276	3.124
E_pf_fair_on	frames_250k	per-frame	16	1	1874.00	5622	1405522488	3.740	30136	2.655
E_pf_fair_on	frames_250k	per-frame	16	2	1818.33	5455	1363771820	3.850	30244	2.816
E_pf_fair_on	frames_250k	per-frame	16	3	1820.33	5461	1365271844	3.790	30128	2.770
E_pf_fair_off	frames_250k	per-frame	4	1	1397.33	4192	1048016768	3.460	29548	3.301
E_pf_fair_off	frames_250k	per-frame	4	2	1419.67	4259	1064767036	3.340	29232	3.137
E_pf_fair_off	frames_250k	per-frame	4	3	1417.67	4253	1063267012	3.370	29344	3.169
E_pf_fair_off	frames_250k	per-frame	16	1	1863.67	5591	1397772364	3.960	30284	2.827
E_pf_fair_off	frames_250k	per-frame	16	2	1908.00	5724	1431022896	3.940	30216	2.748
E_pf_fair_off	frames_250k	per-frame	16	3	1936.67	5810	1452523240	3.950	30348	2.713
E_shared_ref	frames_250k	shared	4	1	1387.00	4161	1040266644	3.350	27400	3.220
E_shared_ref	frames_250k	shared	4	2	1390.67	4172	1043016688	3.300	27484	3.164
E_shared_ref	frames_250k	shared	4	3	1384.67	4154	1038516616	3.250	27496	3.129
E_shared_ref	frames_250k	shared	16	1	1914.33	5743	1435772972	4.120	27784	2.864
E_shared_ref	frames_250k	shared	16	2	1817.67	5453	1363271812	4.150	27760	3.039
E_shared_ref	frames_250k	shared	16	3	1787.67	5363	1340771452	4.180	27680	3.113
E_pf_fair_on	frames_32k	per-frame	4	1	1826.33	5479	175349916	1.450	12640	8.269
E_pf_fair_on	frames_32k	per-frame	4	2	1834.33	5503	176118012	1.450	12692	8.233
E_pf_fair_on	frames_32k	per-frame	4	3	1835.33	5506	176214024	1.470	12632	8.342
E_pf_fair_on	frames_32k	per-frame	16	1	6507.00	19521	624750084	3.590	20500	5.745
E_pf_fair_on	frames_32k	per-frame	16	2	6447.67	19343	619053372	3.500	20636	5.654
E_pf_fair_on	frames_32k	per-frame	16	3	6384.67	19154	613004616	3.530	20480	5.755
