arm	rtt_label_ms	loss_pct	depth	run	f_cell_fps	frames_on_wire	step_loop_ms	asks_sent	cache_misses	miss_p95_wait_ms	role
S	60	0	4	1	35.366096	160	4524.107	160	160	29.035	pilot
S	60	0	4	2	35.378746	160	4522.489	160	160	29.132	pilot
S	60	0	4	3	35.383090	160	4521.934	160	160	29.232	pilot
S	60	0.5	4	1	34.048694	160	4699.152	160	152	54.412	pilot
S	60	0.5	4	2	34.425891	160	4647.665	160	154	35.791	pilot
S	60	0.5	4	3	35.384658	160	4521.734	160	160	29.062	pilot
S	60	2	4	1	18.041538	160	8868.424	160	148	142.265	pilot
S	60	2	4	2	12.318265	160	12988.842	160	156	146.750	pilot
S	60	2	4	3	13.947560	160	11471.540	160	151	145.449	pilot
