exp	arm	cell	rtt_ms	rate_mbps	loss_pct	step_scale	depth	cache	run	p95_wait_ms	mean_wait_ms	peak_outstanding	wait_samples	nz_n	nz_p50	nz_p95	nz_p99	nz_max	reader_lag_ms	stranded_frames	stranded_bytes	censored	censored_frac	center_dropped	frames_on_wire	bytes_on_wire	srv_cpu_s	cli_cpu_s	ns_cpu_s	wall_s	ns_qdrop	verdict
r6scrub	shared	X3S	50	20	1.0	6	8	64	1	1314.70	180.72	9	682	151	697.93	1884.71	2136.38	2147.31	2.0	69	4416276	0	0.0000	0	320	20481280	0.940	1.070	1.890	136.98	0	ok
r6scrub	perframe_fair	X3S	50	20	1.0	6	8	64	1	1552.95	295.23	12	682	178	1172.76	2090.29	2303.09	2420.62	1.5	121	7744484	0	0.0000	0	316	20225264	1.120	1.190	1.950	136.89	0	ok
r6scrub	perframe_fifo	X3S	50	20	1.0	6	8	64	1	1503.96	215.94	13	682	154	892.77	2415.44	3019.96	3441.90	0.7	78	4992312	0	0.0000	0	320	20481280	1.070	1.090	1.960	136.91	0	ok
r6scrub	shared	X3S	50	20	1.0	6	8	64	2	2240.49	339.38	14	682	186	903.68	2686.19	2872.21	2887.19	0.9	98	6272392	0	0.0000	0	316	20225264	0.920	0.980	1.870	136.87	0	ok
r6scrub	perframe_fair	X3S	50	20	1.0	6	8	64	2	2623.85	505.94	16	682	220	1440.34	3234.86	3816.86	4768.31	0.7	155	9920620	0	0.0000	3	312	19969248	1.140	0.000	2.010	137.02	0	VOID:center-dropped
r6scrub	perframe_fifo	X3S	50	20	1.0	6	8	64	2	2466.35	441.40	14	682	198	1337.55	3067.96	4482.06	5045.73	1.6	134	8576536	0	0.0000	0	315	20161260	1.170	1.180	2.030	137.06	0	ok
r6scrub	shared	X3S	50	20	1.0	6	8	64	3	2821.53	393.55	16	682	206	994.75	3133.12	3289.98	3402.04	1.6	99	6336396	0	0.0000	1	314	20097256	1.140	1.100	2.020	136.89	0	VOID:center-dropped
r6scrub	perframe_fair	X3S	50	20	1.0	6	8	64	3	3870.53	1264.95	16	682	232	2728.44	4289.34	78243.10	79430.46	0.9	184	11776736	3	0.0044	13	300	19201200	1.160	1.360	1.950	139.94	0	VOID:center-dropped
r6scrub	perframe_fifo	X3S	50	20	1.0	6	8	64	3	2410.18	489.85	16	682	200	1472.57	4212.29	4622.34	6380.07	1.5	133	8512532	0	0.0000	1	308	19713232	1.060	1.150	1.930	136.94	0	VOID:center-dropped
