exp	arm	cell	rtt_ms	rate_mbps	loss_pct	step_scale	depth	cache	run	p95_wait_ms	mean_wait_ms	peak_outstanding	wait_samples	nz_n	nz_p50	nz_p95	nz_p99	nz_max	reader_lag_ms	stranded_frames	stranded_bytes	censored	censored_frac	center_dropped	frames_on_wire	bytes_on_wire	srv_cpu_s	cli_cpu_s	ns_cpu_s	wall_s	ns_qdrop	verdict
r6scrub	shared	X3S	50	20	1.0	7	8	64	1	207.42	30.26	8	682	50	361.36	979.08	1072.63	1072.63	1.9	13	832052	0	0.0000	0	323	20673292	0.940	1.020	1.920	159.45	0	ok
r6scrub	perframe_fair	X3S	50	20	1.0	7	8	64	1	825.77	95.44	10	682	98	543.59	1467.02	2336.79	2336.79	1.9	30	1920120	0	0.0000	0	322	20609288	1.170	1.300	2.060	159.37	0	ok
r6scrub	perframe_fifo	X3S	50	20	1.0	7	8	64	1	268.10	36.96	8	682	52	396.98	1113.73	1968.17	1968.17	1.8	12	768048	0	0.0000	0	323	20673292	1.130	1.110	2.010	159.39	0	ok
r6scrub	shared	X3S	50	20	1.0	7	8	64	2	673.53	86.52	8	682	94	494.95	1240.15	1599.37	1599.37	0.8	24	1536096	0	0.0000	0	323	20673292	1.060	1.080	2.040	159.45	0	ok
r6scrub	perframe_fair	X3S	50	20	1.0	7	8	64	2	1281.28	146.81	10	682	103	1088.49	1832.30	2146.16	2255.89	1.1	57	3648228	0	0.0000	0	323	20673292	1.170	1.230	2.070	159.41	0	ok
r6scrub	perframe_fifo	X3S	50	20	1.0	7	8	64	2	1046.67	123.78	10	682	101	623.39	2186.27	2553.16	2568.47	1.6	32	2048128	0	0.0000	0	323	20673292	1.070	1.210	2.020	159.43	0	ok
r6scrub	shared	X3S	50	20	1.0	7	8	64	3	965.07	161.17	9	682	192	505.65	1270.07	1501.49	1732.43	1.3	46	2944184	0	0.0000	0	322	20609288	1.070	1.130	2.010	159.44	0	ok
r6scrub	perframe_fair	X3S	50	20	1.0	7	8	64	3	905.88	95.36	8	682	92	604.19	1491.69	1579.91	1579.91	0.6	32	2048128	0	0.0000	0	319	20417276	1.000	1.140	1.920	159.44	0	ok
r6scrub	perframe_fifo	X3S	50	20	1.0	7	8	64	3	1011.38	112.55	8	682	98	625.67	2212.17	2674.17	2674.17	1.4	37	2368148	0	0.0000	0	321	20545284	1.040	1.120	1.980	159.33	0	ok
