arm	trace	repeat	concurrency	region_start	region_frames	region_stride	mix_target	mix_achieved	hit_resident	miss_resident	asks	wall_ns	throughput_fps	p50_ns	p90_ns	p99_ns	max_ns	hop_count	hop_events	hop_p50_ns	hop_p99_ns	gap_p99_ns	gap_max_ns	cpu_ns	cpu_per_ask_ns	threads_max	read_chunk	uring_depth	runtime
uring_whole	forward	1	2	0	320	40	1.0000	1.0000	0.0000	0.0001	320	102966415	3107.8	634372	759410	979285	1781074	320	320	477975	748913	0	0	77902988	243446	5	65536	2	multi
pread_blocking_pooled	forward	1	2	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	107919040	2965.2	674172	769271	905124	1024658	320	320	591433	845180	0	0	76988970	240590	7	65536	2	multi
pread_nowait	forward	1	2	0	320	40	1.0000	1.0000	0.0000	0.0001	320	102112957	3133.8	625671	737976	907698	1392869	320	320	486182	777471	0	0	80975343	253047	7	65536	2	multi
pread_nowait_chunked	forward	1	2	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	305087005	1048.9	1963914	2467308	2789948	3379013	320	827	1662068	2449369	0	0	174010371	543782	8	65536	2	multi
uring_batched_stream	forward	2	2	0	320	40	1.0000	1.0000	0.0000	0.0001	320	122512338	2612.0	724870	916422	1475272	1799907	320	632	576409	1293173	0	0	112767634	352398	5	65536	2	multi
uring_whole	forward	2	2	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	104642247	3058.0	638602	753665	849587	1250749	320	320	484597	694054	0	0	75898483	237182	5	65536	2	multi
pread_blocking_pooled	forward	2	2	0	320	40	1.0000	1.0000	0.0000	0.0001	320	117984744	2712.2	723695	838177	1025444	1754001	320	320	656627	862855	0	0	82214263	256919	7	65536	2	multi
pread_nowait	forward	2	2	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	116957037	2736.0	726569	865826	987005	1024876	320	320	526463	729998	0	0	110131562	344161	7	65536	2	multi
pread_nowait_chunked	forward	2	2	0	320	40	1.0000	1.0000	0.0000	0.0001	320	323210660	990.1	2037077	2548866	3079182	3176972	320	757	1659823	2805775	0	0	200866858	627708	8	65536	2	multi
uring_batched_stream	forward	3	2	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	121832907	2626.5	718243	933080	1851928	2104903	320	636	562626	1733171	0	0	112952557	352976	5	65536	2	multi
uring_whole	forward	3	2	0	320	40	1.0000	1.0000	0.0000	0.0001	320	107109196	2987.6	655300	772657	860460	1272256	320	320	501128	677647	0	0	77165145	241141	5	65536	2	multi
pread_blocking_pooled	forward	3	2	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	112135367	2853.7	693908	797758	889548	923496	320	320	626781	826292	0	0	79926605	249770	7	65536	2	multi
pread_nowait	forward	3	2	0	320	40	1.0000	1.0000	0.0000	0.0001	320	118432126	2702.0	719030	919463	1309444	1492922	320	320	535616	1138078	0	0	112812312	352538	7	65536	2	multi
pread_nowait_chunked	forward	3	2	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	316338340	1011.6	2043163	2522526	2976186	3274470	320	787	1652299	2680736	0	0	191741017	599190	8	65536	2	multi
uring_batched_stream	forward	4	2	0	320	40	1.0000	1.0000	0.0000	0.0001	320	140185293	2282.7	837492	1102270	1784280	2451218	320	631	639693	1660446	0	0	132170357	413032	5	65536	2	multi
uring_whole	forward	4	2	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	100261596	3191.7	619847	719525	865247	998107	320	320	459098	665213	0	0	78062270	243944	5	65536	2	multi
pread_blocking_pooled	forward	4	2	0	320	40	1.0000	1.0000	0.0000	0.0001	320	123431595	2592.5	756258	881243	1079587	1688303	320	320	677049	978301	0	0	92544764	289202	8	65536	2	multi
pread_nowait	forward	4	2	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	108899139	2938.5	676804	755127	834924	889650	320	320	529786	662416	0	0	91233999	285106	7	65536	2	multi
pread_nowait_chunked	forward	4	2	0	320	40	1.0000	1.0000	0.0000	0.0001	320	301659708	1060.8	1960771	2430152	2703325	2798596	320	829	1638843	2460300	0	0	161685408	505266	7	65536	2	multi
uring_batched_stream	forward	5	2	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	131803305	2427.9	792307	988664	1663960	2102559	320	639	628477	1565445	0	0	124682190	389631	5	65536	2	multi
uring_whole	forward	5	2	0	320	40	1.0000	1.0000	0.0000	0.0001	320	113537763	2818.4	700805	831127	1091125	1568204	320	320	531198	733289	0	0	94031411	293848	5	65536	2	multi
pread_blocking_pooled	forward	5	2	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	118900978	2691.3	730264	852175	1072414	1206268	320	320	647955	1010848	0	0	91103402	284698	7	65536	2	multi
pread_nowait	forward	5	2	0	320	40	1.0000	1.0000	0.0000	0.0001	320	111865225	2860.6	684186	817991	924975	1304654	320	320	540636	770911	0	0	89670881	280221	7	65536	2	multi
pread_nowait_chunked	forward	5	2	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	295312881	1083.6	1865990	2371579	2784900	3249399	320	817	1564313	2445084	0	0	170299015	532184	7	65536	2	multi
uring_batched_stream	forward	1	4	0	320	40	1.0000	1.0000	0.0000	0.0001	320	112108535	2854.4	1322578	1722414	2490710	2626177	320	636	1130525	2281458	0	0	111538533	348557	5	65536	2	multi
uring_whole	forward	1	4	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	78240203	4090.0	961819	1127096	1381760	1484133	319	319	766161	1038600	0	0	81021877	253193	5	65536	2	multi
pread_blocking_pooled	forward	1	4	0	320	40	1.0000	1.0000	0.0000	0.0001	320	79776249	4011.2	971888	1170829	1684929	1916004	320	320	890749	1609681	0	0	79665460	248954	11	65536	2	multi
pread_nowait	forward	1	4	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	78194591	4092.4	936539	1216430	2875905	3306635	320	320	731705	2426373	0	0	85908770	268464	11	65536	2	multi
pread_nowait_chunked	forward	1	4	0	320	40	1.0000	1.0000	0.0000	0.0001	320	232598758	1375.8	2940207	3613437	4270300	4481622	320	915	2522156	3803932	0	0	183973902	574918	10	65536	2	multi
uring_batched_stream	forward	2	4	12800	320	40	1.0000	1.0000	0.0000	0.0000	320	103393030	3095.0	1247047	1504247	2147307	2244987	320	640	1068063	1982034	0	0	102369481	319904	5	65536	2	multi
uring_whole	forward	2	4	0	320	40	1.0000	1.0000	0.0000	0.0001	320	86613447	3694.6	1068324	1247467	1869589	2739098	320	320	894581	1720452	0	0	72740181	227313	5	65536	2	multi
