arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks	runtime	hop_count
pread_blocking_pooled	frames_250k_live.sbnd	warm	random	full	16384	5	320	320	299603	152379	1428061	264208	84739777	426	17789	537265	34468	80000000	58699	0	0	0	multi	320
pread_nowait	frames_250k_live.sbnd	warm	random	full	16384	5	320	320	182075	44586	100921	49646	16069085	328	10605	170763	12264	80000000	0	0	0	0	multi	0
pread_nowait_chunked	frames_250k_live.sbnd	warm	random	full	16384	5	320	320	116374	56374	111829	58854	18945492	497	11518	88624	11445	80000000	0	0	0	0	multi	0
mmap_naive	frames_250k_live.sbnd	warm	reverse	full	16384	1	320	320	36386	34100	83655	39034	12515578	520	11508	39940	8194	0	0	0	0	0	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	reverse	full	16384	1	320	320	103543	37633	88266	39573	12765289	261	10416	213786	13988	0	0	0	0	0	multi	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	reverse	full	16384	1	320	320	211261	110339	170405	108931	35042518	848	20692	80589	10328	0	20413	0	0	0	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	warm	reverse	full	16384	1	320	320	87664	46753	141933	52108	16748100	499	12262	61123	12917	0	11803	0	0	0	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	reverse	full	16384	1	320	320	284491	144757	252891	146252	47074481	525	20640	96260	18978	80000000	53646	0	0	0	multi	320
pread_nowait	frames_250k_live.sbnd	warm	reverse	full	16384	1	320	320	102571	42125	98663	47659	15345075	379	12981	95014	10545	80000000	0	0	0	0	multi	0
pread_nowait_chunked	frames_250k_live.sbnd	warm	reverse	full	16384	1	320	320	71365	42475	95170	48486	15576382	530	12502	55621	9193	80000000	0	0	0	0	multi	0
mmap_naive	frames_250k_live.sbnd	warm	reverse	full	16384	2	320	320	92553	30063	85060	35494	11447295	303	11890	56535	11596	0	0	0	0	0	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	reverse	full	16384	2	320	320	67781	31160	72627	35578	11445709	483	11220	41540	8240	0	0	0	0	0	multi	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	reverse	full	16384	2	320	320	133822	103060	173922	102343	32883020	349	19316	69189	15194	0	20479	0	0	0	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	warm	reverse	full	16384	2	320	320	106938	46233	134457	49571	15955014	531	12031	38182	9514	0	12003	0	0	0	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	reverse	full	16384	2	320	320	229274	143220	208254	142142	45701286	520	20558	127965	18772	80000000	51650	0	0	0	multi	320
pread_nowait	frames_250k_live.sbnd	warm	reverse	full	16384	2	320	320	124349	44997	103280	50977	16426993	360	11664	108197	13844	80000000	0	0	0	0	multi	0
pread_nowait_chunked	frames_250k_live.sbnd	warm	reverse	full	16384	2	320	320	64764	49048	107287	51531	16547700	286	9411	39367	18738	80000000	0	0	0	0	multi	0
mmap_naive	frames_250k_live.sbnd	warm	reverse	full	16384	3	320	320	74305	32219	80713	38151	12275485	503	11589	48762	6949	0	0	0	0	0	multi	0
