label	arm	temp	mode	depth	asks	p50_ns	p90_ns	p99_ns	wall_ns	asks_per_s	cpu_ns_per_ask	rss_kib	miss_pct
cold_d2_r4	after	cold	on-demand	2	256	398063	507945	729617	56731888	4512	216212	8	1.0
cold_d4_r4	after	cold	on-demand	4	256	499570	647804	809622	35089991	7296	170427	8	0.9921875
warm_d1_r4	after	warm	on-demand	1	256	244142	303323	374038	65319805	3919	201695	0	0.0
warm_d4_r4	after	warm	on-demand	4	256	347845	525073	670144	26671776	9598	118881	0	0.0
fill_r4	after	cold	fill	1	256	30692	131679	648925	19514942	13118	90120	1216	0.01529051987767584
cold_d1_r5	after	cold	on-demand	1	256	311245	398422	534413	85632770	2990	303623	24	0.99609375
cold_d2_r5	after	cold	on-demand	2	256	381100	477455	613688	52677855	4860	203969	8	0.99609375
cold_d4_r5	after	cold	on-demand	4	256	490520	661661	870138	35524878	7206	161913	8	0.99609375
warm_d1_r5	after	warm	on-demand	1	256	197401	248055	301933	54536506	4694	195387	0	0.0
warm_d4_r5	after	warm	on-demand	4	256	340193	485529	662723	24558550	10424	119949	24	0.0
fill_r5	after	cold	fill	1	256	32368	135828	416152	20119770	12724	91160	1172	0.015337423312883436
cold_d1_r5	before	cold	on-demand	1	256	312855	390298	463518	85609323	2990	286303	8	0.99609375
cold_d2_r5	before	cold	on-demand	2	256	370783	499784	618234	51599827	4961	230990	8	0.98828125
cold_d4_r5	before	cold	on-demand	4	256	700242	942383	1177089	49364796	5186	268680	8	0.99609375
warm_d1_r5	before	warm	on-demand	1	256	212403	272483	309989	58901516	4346	213446	0	0.0
warm_d4_r5	before	warm	on-demand	4	256	421754	629362	711817	30553301	8379	151640	0	0.0
fill_r5	before	cold	fill	1	256	6277	145847	641397	18584354	13775	85142	1088	0.009554140127388535
cold_d1_r6	before	cold	on-demand	1	256	348876	417647	497540	93357026	2742	323080	40	0.99609375
cold_d2_r6	before	cold	on-demand	2	256	429148	592907	798243	61107552	4189	266630	8	0.99609375
cold_d4_r6	before	cold	on-demand	4	256	648337	893530	1102644	45713362	5600	245545	8	0.98828125
warm_d1_r6	before	warm	on-demand	1	256	222204	297068	355993	61536224	4160	212800	0	0.0
warm_d4_r6	before	warm	on-demand	4	256	484575	654331	775667	33134821	7726	170526	0	0.0
fill_r6	before	cold	fill	1	256	41959	161825	858810	23032698	11115	107943	1132	0.015151515151515152
cold_d1_r6	after	cold	on-demand	1	256	313936	377523	469860	85500073	2994	284594	8	0.99609375
cold_d2_r6	after	cold	on-demand	2	256	383199	478919	659451	53128370	4819	223599	8	0.99609375
cold_d4_r6	after	cold	on-demand	4	256	547783	684218	882840	37951901	6745	177973	8	0.99609375
warm_d1_r6	after	warm	on-demand	1	256	213290	266933	322204	58506279	4376	211551	0	0.0
warm_d4_r6	after	warm	on-demand	4	256	409540	568513	737877	29549507	8663	151460	0	0.0
fill_r6	after	cold	fill	1	256	14821	141869	745244	19773743	12946	90896	1132	0.015527950310559006
cold_d1_r7	after	cold	on-demand	1	256	310851	407022	568488	86672950	2954	312992	8	1.0
cold_d2_r7	after	cold	on-demand	2	256	408806	535947	654227	55707989	4595	249959	8	1.0
cold_d4_r7	after	cold	on-demand	4	256	610861	829694	1003326	43766937	5849	210392	8	0.99609375
warm_d1_r7	after	warm	on-demand	1	256	213281	270284	321341	58790095	4354	207510	0	0.0
warm_d4_r7	after	warm	on-demand	4	256	356350	479676	617034	26064335	9822	125605	0	0.0
fill_r7	after	cold	fill	1	256	38181	133200	329699	20339641	12586	96177	1132	0.01718213058419244
cold_d1_r7	before	cold	on-demand	1	256	368270	457037	555965	98733033	2593	332354	8	0.99609375
cold_d2_r7	before	cold	on-demand	2	256	373163	500178	656880	52533736	4873	242179	8	0.9921875
cold_d4_r7	before	cold	on-demand	4	256	608104	786734	943241	42379344	6041	227133	8	0.99609375
warm_d1_r7	before	warm	on-demand	1	256	231507	298597	386529	64118202	3993	223331	0	0.0
warm_d4_r7	before	warm	on-demand	4	256	380734	595258	766724	27723857	9234	137213	4	0.0
fill_r7	before	cold	fill	1	256	9389	142538	541660	17639827	14513	81518	1460	0.015432098765432098
cold_d1_r8	before	cold	on-demand	1	256	307977	380860	469522	83434186	3068	312232	8	0.99609375
cold_d2_r8	before	cold	on-demand	2	256	477932	628240	802524	66247482	3864	267293	8	0.99609375
cold_d4_r8	before	cold	on-demand	4	256	624316	805861	919560	42920846	5964	229405	8	0.99609375
warm_d1_r8	before	warm	on-demand	1	256	193087	246099	292291	53593345	4777	191411	0	0.0
warm_d4_r8	before	warm	on-demand	4	256	388557	551984	712704	27198568	9412	136652	0	0.0
fill_r8	before	cold	fill	1	256	33211	123542	380460	18091690	14150	81573	1444	0.011538461538461539
cold_d1_r8	after	cold	on-demand	1	256	313071	373926	442073	84217426	3040	290469	8	0.99609375
cold_d2_r8	after	cold	on-demand	2	256	375149	525902	634632	53880692	4751	241896	8	0.9921875
cold_d4_r8	after	cold	on-demand	4	256	501188	673541	828534	35700570	7171	162856	8	0.99609375
warm_d1_r8	after	warm	on-demand	1	256	193767	242498	319972	54293535	4715	192088	0	0.0
warm_d4_r8	after	warm	on-demand	4	256	340649	469423	594808	25603581	9999	108957	0	0.0
fill_r8	after	cold	fill	1	256	10363	146876	514136	19337943	13238	90735	1664	0.015151515151515152
cold_d1_r9	after	cold	on-demand	1	256	352276	442320	630702	96131115	2663	319851	8	1.0
cold_d2_r9	after	cold	on-demand	2	256	368146	534645	662324	52140167	4910	236150	8	0.99609375
cold_d4_r9	after	cold	on-demand	4	256	553694	704793	861933	38941131	6574	168551	8	1.0
warm_d1_r9	after	warm	on-demand	1	256	193267	250986	314046	53959382	4744	190719	0	0.0
warm_d4_r9	after	warm	on-demand	4	256	323242	501787	645797	23773925	10768	115303	0	0.0
fill_r9	after	cold	fill	1	256	33680	142895	594632	19947314	12834	92092	1064	0.01597444089456869
cold_d1_r9	before	cold	on-demand	1	256	316120	376205	447538	85568153	2992	283545	8	0.99609375
cold_d2_r9	before	cold	on-demand	2	256	354014	503264	645055	50605281	5059	225939	8	0.99609375
cold_d4_r9	before	cold	on-demand	4	256	591635	784867	893071	41122644	6225	198613	8	1.0
warm_d1_r9	before	warm	on-demand	1	256	209776	271727	331365	57667900	4439	198004	0	0.0
warm_d4_r9	before	warm	on-demand	4	256	416623	582585	686491	29389426	8711	151817	0	0.0
fill_r9	before	cold	fill	1	256	32428	113240	354957	16489188	15525	77848	272	0.017064846416382253
cold_d1_r10	before	cold	on-demand	1	256	274924	343233	404652	74859047	3420	270818	8	0.984375
cold_d2_r10	before	cold	on-demand	2	256	361813	470874	640824	51333668	4987	231617	8	1.0
cold_d4_r10	before	cold	on-demand	4	256	678080	903704	1052958	46281837	5531	229767	8	0.9921875
warm_d1_r10	before	warm	on-demand	1	256	210123	285209	367722	59246360	4321	202252	0	0.0
warm_d4_r10	before	warm	on-demand	4	256	416796	596323	798961	29934123	8552	143253	0	0.0
fill_r10	before	cold	fill	1	256	47307	135712	401427	19645304	13031	94820	8	0.010638297872340425
cold_d1_r10	after	cold	on-demand	1	256	336622	410290	488770	90684807	2823	314038	8	1.0
cold_d2_r10	after	cold	on-demand	2	256	390621	505524	657083	55168054	4640	231813	8	0.9921875
cold_d4_r10	after	cold	on-demand	4	256	514259	654375	788251	36797691	6957	163476	8	0.9921875
warm_d1_r10	after	warm	on-demand	1	256	233707	296013	346731	63935153	4004	231913	0	0.0
warm_d4_r10	after	warm	on-demand	4	256	360617	531125	714055	26494241	9662	133887	0	0.0
fill_r10	after	cold	fill	1	256	48043	154059	320410	22738620	11258	109504	1016	0.016722408026755852
cold_d1_r11	after	cold	on-demand	1	256	313124	390597	484042	85410362	2997	313690	8	1.0
cold_d2_r11	after	cold	on-demand	2	256	431040	540746	697774	59997989	4267	220587	8	0.99609375
cold_d4_r11	after	cold	on-demand	4	256	562993	780557	1263204	40800638	6274	186325	8	0.99609375
warm_d1_r11	after	warm	on-demand	1	256	225910	283298	322896	61677647	4151	208799	0	0.0
warm_d4_r11	after	warm	on-demand	4	256	376956	522091	691569	27001976	9481	132306	24	0.0
