# crossover_bench placement A/B · lab/fixtures/frames_16k_big/frames_16k_big.sbnd · asks=256 size=16384 stride=250000 repeats=6
# placement=inline reproduces the old harness (ring loop on the block_on calling thread); placement=spawned runs every arm on a runtime worker
placement	arm	warm_frac	depth	repeat	miss_pct	p50_ns	p99_ns	cpu_ns_per_ask	asks_per_s
inline	uring	1	1	5	100.0	17786	36403	22249	55038
inline	pool	1	8	0	0.0	4937	34047	8681	492631
inline	uring	1	8	0	100.0	48279	92846	9801	131587
inline	hybrid	1	8	0	0.0	3392	9136	6380	203589
inline	uring	1	8	1	100.0	47589	68729	8876	149605
inline	hybrid	1	8	1	0.0	4453	10257	7405	155006
inline	pool	1	8	1	0.0	5498	13460	7933	531514
inline	hybrid	1	8	2	0.0	4110	8333	7543	178600
inline	pool	1	8	2	0.0	5500	39373	9230	449788
inline	uring	1	8	2	100.0	46043	64270	8550	149222
inline	pool	1	8	3	0.0	4782	14032	7111	427724
inline	uring	1	8	3	100.0	46397	90634	9492	142733
inline	hybrid	1	8	3	0.0	3599	9422	6206	195218
inline	uring	1	8	4	100.0	47094	78711	8849	142397
inline	hybrid	1	8	4	0.0	4035	8348	6841	190400
inline	pool	1	8	4	0.0	5127	16445	8659	509396
inline	hybrid	1	8	5	0.0	4301	11865	7552	152252
inline	pool	1	8	5	0.0	6775	22721	10617	387808
inline	uring	1	8	5	100.0	76971	109624	12855	90950
inline	pool	0.98	1	0	2.3	5428	178650	12448	84416
inline	uring	0.98	1	0	100.0	18793	138778	26996	43431
inline	hybrid	0.98	1	0	2.3	5481	158600	11761	94194
inline	uring	0.98	1	1	100.0	18205	153719	26040	43797
inline	hybrid	0.98	1	1	2.3	5146	149681	9942	93840
inline	pool	0.98	1	1	2.3	5041	157692	10656	100700
inline	hybrid	0.98	1	2	2.3	4502	168284	9890	100721
inline	pool	0.98	1	2	2.3	4979	150903	9520	101026
inline	uring	0.98	1	2	100.0	18656	179653	27151	42532
inline	pool	0.98	1	3	0.4	4831	15106	7783	147967
inline	uring	0.98	1	3	100.0	18183	38021	23741	52396
inline	hybrid	0.98	1	3	0.4	4668	9891	7907	144454
inline	uring	0.98	1	4	100.0	19850	136711	28431	42267
inline	hybrid	0.98	1	4	2.0	5017	200532	10344	93428
inline	pool	0.98	1	4	2.0	5191	173743	11276	99647
inline	hybrid	0.98	1	5	1.6	5385	138124	10277	110171
inline	pool	0.98	1	5	1.6	5475	155944	10331	107370
inline	uring	0.98	1	5	100.0	19177	129362	28104	43502
inline	pool	0.98	8	0	2.3	6871	327078	15067	228469
inline	uring	0.98	8	0	100.0	65058	220770	12938	84837
inline	hybrid	0.98	8	0	2.3	5292	168830	10810	91615
inline	uring	0.98	8	1	100.0	56913	225992	10570	107022
inline	hybrid	0.98	8	1	2.3	3546	100547	8485	140142
inline	pool	0.98	8	1	2.3	3924	437536	9767	64696
inline	hybrid	0.98	8	2	2.3	3235	461925	10774	50553
inline	pool	0.98	8	2	2.3	3581	498148	8600	149183
inline	uring	0.98	8	2	100.0	29239	124434	5266	190132
inline	pool	0.98	8	3	0.4	4197	13874	9245	254380
inline	uring	0.98	8	3	100.0	45361	170122	13047	120683
inline	hybrid	0.98	8	3	0.4	3051	8916	6357	75091
inline	uring	0.98	8	4	100.0	29698	288815	8255	120488
inline	hybrid	0.98	8	4	2.0	3179	103560	6880	156376
inline	pool	0.98	8	4	2.0	4215	281593	9885	274463
inline	hybrid	0.98	8	5	1.6	3711	99023	7532	62716
inline	pool	0.98	8	5	1.6	4082	370243	7345	166106
inline	uring	0.98	8	5	100.0	41191	114332	7685	159225
spawned	pool	0	1	0	100.0	120781	205244	110824	7970
spawned	uring	0	1	0	100.0	78242	159954	46738	11485
spawned	hybrid	0	1	0	99.6	78623	177980	50740	11418
spawned	uring	0	1	1	100.0	59067	114763	43890	15304
spawned	hybrid	0	1	1	99.2	85165	139369	51893	11019
spawned	pool	0	1	1	100.0	109203	202275	109628	8249
spawned	hybrid	0	1	2	99.6	65675	121443	46502	14072
spawned	pool	0	1	2	100.0	110012	205311	107632	8561
spawned	uring	0	1	2	100.0	79448	162449	50245	11438
spawned	pool	0	1	3	99.6	112299	180220	102405	8566
spawned	uring	0	1	3	100.0	76984	144888	46032	12023
spawned	hybrid	0	1	3	100.0	77178	155716	48954	11729
spawned	uring	0	1	4	100.0	75985	136762	45287	12214
spawned	hybrid	0	1	4	99.6	76540	156736	48592	12062
spawned	pool	0	1	4	100.0	111289	202655	103277	8417
spawned	hybrid	0	1	5	99.2	64972	94900	49129	14324
spawned	pool	0	1	5	100.0	104277	175428	99721	9042
spawned	uring	0	1	5	100.0	75102	148534	46373	12274
spawned	pool	0	8	0	100.0	271856	913359	107789	23386
spawned	uring	0	8	0	100.0	353410	548922	23119	20836
spawned	hybrid	0	8	0	99.6	230003	382630	25431	25715
spawned	uring	0	8	1	100.0	230615	588820	17726	30085
spawned	hybrid	0	8	1	100.0	245669	405381	23756	25148
spawned	pool	0	8	1	100.0	280874	644514	83209	26417
spawned	hybrid	0	8	2	100.0	233627	412220	23853	25974
spawned	pool	0	8	2	99.6	264606	615685	80808	26876
spawned	uring	0	8	2	100.0	347844	571774	22670	21615
spawned	pool	0	8	3	99.6	295637	606780	73665	25914
spawned	uring	0	8	3	100.0	346960	564920	21750	21552
spawned	hybrid	0	8	3	100.0	242153	395490	22152	25370
spawned	uring	0	8	4	100.0	346345	609787	23861	21199
spawned	hybrid	0	8	4	100.0	255008	405866	37021	21922
spawned	pool	0	8	4	100.0	292024	606588	84372	25265
spawned	hybrid	0	8	5	100.0	159957	478423	20174	34081
spawned	pool	0	8	5	99.2	315141	559742	90016	24807
spawned	uring	0	8	5	100.0	337242	627154	22617	21669
spawned	pool	0.9	1	0	12.1	6265	196925	21069	43698
spawned	uring	0.9	1	0	100.0	5785	104779	15916	55776
spawned	hybrid	0.9	1	0	12.1	5819	113832	14982	54968
spawned	uring	0.9	1	1	100.0	6830	138166	16834	50089
spawned	hybrid	0.9	1	1	10.9	5655	91202	13081	67370
spawned	pool	0.9	1	1	10.9	6855	155622	20552	45699
spawned	hybrid	0.9	1	2	11.3	5498	136183	13880	54748
spawned	pool	0.9	1	2	11.3	6412	168050	23243	43494
spawned	uring	0.9	1	2	100.0	6705	129367	15675	52207
spawned	pool	0.9	1	3	8.6	5698	166164	19238	53171
spawned	uring	0.9	1	3	100.0	6594	132069	13547	57111
spawned	hybrid	0.9	1	3	8.6	5520	134506	13429	59881
spawned	uring	0.9	1	4	100.0	7338	140263	15456	56449
