arm	trace	repeat	concurrency	region_start	region_frames	region_stride	mix_target	mix_achieved	hit_resident	miss_resident	asks	wall_ns	throughput_fps	p50_ns	p90_ns	p99_ns	max_ns	hop_count	hop_events	hop_p50_ns	hop_p99_ns	gap_p99_ns	gap_max_ns	cpu_ns	cpu_per_ask_ns	threads_max	read_chunk	uring_depth	runtime
uring_tuned	forward	4	1	15360	128	40	0.0000	0.0000	1.0000	0.0000	128	26071347	4909.6	187730	275953	438612	477559	0	0	0	0	0	0	30160699	235630	5	65536	2	multi
uring_whole	forward	4	1	20480	128	40	0.0000	0.0000	1.0000	0.0000	128	28856273	4435.8	190449	365651	448207	473220	0	0	0	0	0	0	32808666	256317	5	65536	2	multi
pread_nowait_chunked	forward	4	1	25600	128	40	0.0000	0.0000	1.0000	0.0000	128	20074826	6376.1	152531	178684	213485	227288	0	0	0	0	0	0	24697403	192948	5	65536	2	multi
pread_nowait	forward	4	1	0	128	40	0.0000	0.0000	1.0000	0.0000	128	24723257	5177.3	170611	288478	340719	350589	0	0	0	0	0	0	28430834	222115	5	65536	2	multi
pread_blocking_pooled	forward	4	1	5120	128	40	0.0000	0.0000	1.0000	0.0000	128	33226915	3852.3	228117	378861	490274	490610	128	128	134292	222631	0	0	36495447	285120	6	65536	2	multi
uring_nowait_hybrid	forward	5	1	10240	128	40	0.0000	0.0000	1.0000	0.0000	128	43698579	2929.2	341747	414907	471186	513187	0	0	0	0	0	0	50897219	397634	5	65536	2	multi
uring_pipelined	forward	5	1	15360	128	40	0.0000	0.0000	1.0000	0.0000	128	25676993	4985.0	197518	229841	261877	373872	0	0	0	0	0	0	30215213	236056	5	65536	2	multi
uring_batched_stream	forward	5	1	20480	128	40	0.0000	0.0000	1.0000	0.0000	128	24120969	5306.6	174762	234179	447410	505436	0	0	0	0	0	0	27952754	218380	5	65536	2	multi
uring_tuned	forward	5	1	25600	128	40	0.0000	0.0000	1.0000	0.0000	128	26581961	4815.3	197293	272117	431597	436286	0	0	0	0	0	0	30645764	239420	5	65536	2	multi
uring_whole	forward	5	1	0	128	40	0.0000	0.0000	1.0000	0.0000	128	21577507	5932.1	162589	207277	315730	366520	0	0	0	0	0	0	24805888	193796	5	65536	2	multi
pread_nowait_chunked	forward	5	1	5120	128	40	0.0000	0.0000	1.0000	0.0000	128	21678388	5904.5	165873	195446	293429	307869	0	0	0	0	0	0	24986507	195207	5	65536	2	multi
pread_nowait	forward	5	1	10240	128	40	0.0000	0.0000	1.0000	0.0000	128	20356911	6287.8	144053	217769	384737	393051	0	0	0	0	0	0	23367329	182557	5	65536	2	multi
pread_blocking_pooled	forward	5	1	15360	128	40	0.0000	0.0000	1.0000	0.0000	128	28989272	4415.4	221703	257056	407974	429994	128	128	129472	239547	0	0	32033319	250260	6	65536	2	multi
uring_nowait_hybrid	forward	6	1	20480	128	40	0.0000	0.0000	1.0000	0.0000	128	19887637	6436.2	144087	180873	261603	266882	0	0	0	0	0	0	22584945	176444	5	65536	2	multi
uring_pipelined	forward	6	1	25600	128	40	0.0000	0.0000	1.0000	0.0000	128	23778133	5383.1	192438	241998	419883	446724	0	0	0	0	0	0	27489085	214758	5	65536	2	multi
uring_batched_stream	forward	6	1	0	128	40	0.0000	0.0000	1.0000	0.0000	128	23849175	5367.1	178733	226883	341434	352555	0	0	0	0	0	0	27589464	215542	5	65536	2	multi
uring_tuned	forward	6	1	5120	128	40	0.0000	0.0000	1.0000	0.0000	128	22511890	5685.9	165856	217411	390896	430394	0	0	0	0	0	0	25962589	202832	5	65536	2	multi
uring_whole	forward	6	1	10240	128	40	0.0000	0.0000	1.0000	0.0000	128	24172767	5295.2	180651	230354	320969	321810	0	0	0	0	0	0	28118628	219676	5	65536	2	multi
pread_nowait_chunked	forward	6	1	15360	128	40	0.0000	0.0000	1.0000	0.0000	128	22832189	5606.1	173415	209616	258852	260639	0	0	0	0	0	0	26454906	206678	5	65536	2	multi
pread_nowait	forward	6	1	20480	128	40	0.0000	0.0000	1.0000	0.0000	128	20649677	6198.6	160664	190575	254887	269214	0	0	0	0	0	0	23983058	187367	5	65536	2	multi
pread_blocking_pooled	forward	6	1	25600	128	40	0.0000	0.0000	1.0000	0.0000	128	29698757	4309.9	223599	283273	395178	396060	128	128	131538	228810	0	0	32652117	255094	6	65536	2	multi
uring_nowait_hybrid	forward	7	1	0	128	40	0.0000	0.0000	1.0000	0.0000	128	21498471	5953.9	162589	197569	282565	453148	0	0	0	0	0	0	24626245	192392	5	65536	2	multi
uring_pipelined	forward	7	1	5120	128	40	0.0000	0.0000	1.0000	0.0000	128	26843034	4768.5	203024	238607	392906	462595	0	0	0	0	0	0	31561154	246571	5	65536	2	multi
