arm	trace	repeat	concurrency	region_start	region_frames	region_stride	mix_target	mix_achieved	hit_resident	miss_resident	asks	wall_ns	throughput_fps	p50_ns	p90_ns	p99_ns	max_ns	hop_count	hop_events	probe_ns_p50	probe_got_p50	hop_p50_ns	hop_p99_ns	gap_p99_ns	gap_max_ns	cpu_ns	cpu_per_ask_ns	threads_max	read_chunk	uring_depth	runtime
uring_nowait_whole	forward	1	1	0	128	40	1.0000	1.0000	0.0000	0.0001	128	689005226	185.8	710210	20407900	63385119	67201141	128	128	70625	0	563520	63239475	0	0	38990621	304614	5	65536	2	multi
uring_whole	forward	1	1	5120	128	40	1.0000	1.0000	0.0000	0.0000	128	392718313	325.9	811594	1097564	61816945	62879351	128	128	0	0	679669	61623979	0	0	43716688	341536	5	65536	2	multi
pread_nowait_escalate	forward	1	1	10240	128	40	1.0000	1.0000	0.0000	0.0000	128	97253142	1316.2	737065	983439	1215099	1309775	128	128	33360	0	659227	1086018	0	0	40534832	316678	6	65536	2	multi
pread_blocking_pooled	forward	1	1	15360	128	40	1.0000	1.0000	0.0000	0.0000	128	92087981	1390.0	693628	875065	1160175	1370268	128	128	0	0	653720	1125408	0	0	36075889	281842	6	65536	2	multi
uring_nowait_whole	forward	2	1	20480	128	40	1.0000	1.0000	0.0000	0.0000	128	90948345	1407.4	686289	837787	1052646	1235528	128	128	67963	0	552351	857962	0	0	32800595	256254	5	65536	2	multi
uring_whole	forward	2	1	25600	128	40	1.0000	1.0000	0.0000	0.0000	128	83498399	1533.0	639093	743849	911369	1260082	128	128	0	0	503834	764720	0	0	30412698	237599	5	65536	2	multi
pread_nowait_escalate	forward	2	1	0	128	40	1.0000	1.0000	0.0000	0.0001	128	65106622	1966.0	496768	608227	713397	744081	128	128	29746	0	367199	538989	0	0	43721669	341575	6	65536	2	multi
pread_blocking_pooled	forward	2	1	5120	128	40	1.0000	1.0000	0.0000	0.0000	128	53169783	2407.4	405435	495475	576780	578662	128	128	0	0	321571	539924	0	0	32700507	255472	6	65536	2	multi
uring_nowait_whole	forward	3	1	10240	128	40	1.0000	1.0000	0.0000	0.0000	128	58184663	2199.9	440354	515597	660095	925364	128	128	59889	0	303378	443969	0	0	29841195	233134	5	65536	2	multi
uring_whole	forward	3	1	15360	128	40	1.0000	1.0000	0.0000	0.0000	128	47435972	2698.4	356450	462570	622665	646270	128	128	0	0	209070	471369	0	0	30862426	241112	5	65536	2	multi
pread_nowait_escalate	forward	3	1	20480	128	40	1.0000	1.0000	0.0000	0.0000	128	53073361	2411.8	382342	551058	856192	1024809	128	128	30705	0	318905	795713	0	0	30768572	240379	6	65536	2	multi
pread_blocking_pooled	forward	3	1	25600	128	40	1.0000	1.0000	0.0000	0.0000	128	50974783	2511.0	382460	473345	701425	1605173	128	128	0	0	323332	677118	0	0	26234652	204958	6	65536	2	multi
uring_nowait_whole	forward	4	1	0	128	40	1.0000	1.0000	0.0000	0.0001	128	47335726	2704.1	355408	466360	770228	1075071	128	128	42020	0	190447	620287	0	0	29991229	234306	5	65536	2	multi
uring_whole	forward	4	1	5120	128	40	1.0000	1.0000	0.0000	0.0000	128	41709323	3068.9	315443	371433	442815	886020	128	128	0	0	177325	275659	0	0	27485669	214731	5	65536	2	multi
pread_nowait_escalate	forward	4	1	10240	128	40	1.0000	1.0000	0.0000	0.0000	128	39465640	3243.3	295193	371291	468963	477669	128	128	24163	0	227511	385456	0	0	25554292	199642	6	65536	2	multi
pread_blocking_pooled	forward	4	1	15360	128	40	1.0000	1.0000	0.0000	0.0000	128	53406346	2396.7	412239	499692	848652	890493	128	128	0	0	326627	826329	0	0	30426035	237703	6	65536	2	multi
uring_nowait_whole	forward	5	1	20480	128	40	1.0000	1.0000	0.0000	0.0000	128	56026670	2284.6	432291	523791	651247	659022	128	128	57805	0	264701	472195	0	0	31318369	244674	5	65536	2	multi
uring_whole	forward	5	1	25600	128	40	1.0000	1.0000	0.0000	0.0000	128	45126917	2836.4	330355	434499	788098	804098	128	128	0	0	177323	625424	0	0	31145789	243326	5	65536	2	multi
pread_nowait_escalate	forward	5	1	0	128	40	1.0000	1.0000	0.0000	0.0001	128	59350198	2156.7	431592	600048	909348	1234211	128	128	42291	0	362588	840118	0	0	29350137	229297	6	65536	2	multi
pread_blocking_pooled	forward	5	1	5120	128	40	1.0000	1.0000	0.0000	0.0000	128	44688198	2864.3	342959	413761	629803	644158	128	128	0	0	303843	600591	0	0	23019401	179839	6	65536	2	multi
uring_nowait_whole	forward	6	1	10240	128	40	1.0000	1.0000	0.0000	0.0000	128	47687023	2684.2	322718	578543	972499	1061636	128	128	37135	0	178585	813668	0	0	35688457	278816	5	65536	2	multi
uring_whole	forward	6	1	15360	128	40	1.0000	1.0000	0.0000	0.0000	128	53583081	2388.8	409222	497374	714407	1046594	128	128	0	0	261430	595587	0	0	29859229	233275	5	65536	2	multi
pread_nowait_escalate	forward	6	1	20480	128	40	1.0000	1.0000	0.0000	0.0000	128	54902815	2331.4	367644	577049	1141393	1377551	128	128	24723	0	256071	1071883	0	0	35135285	274494	6	65536	2	multi
pread_blocking_pooled	forward	6	1	25600	128	40	1.0000	1.0000	0.0000	0.0000	128	44150105	2899.2	332491	411292	488992	542339	128	128	0	0	301437	466014	0	0	22421449	175167	6	65536	2	multi
uring_nowait_whole	forward	7	1	0	128	40	1.0000	1.0000	0.0000	0.0001	128	51781584	2471.9	398651	473420	579290	931121	128	128	49418	0	252890	412926	0	0	28720505	224378	5	65536	2	multi
uring_whole	forward	7	1	5120	128	40	1.0000	1.0000	0.0000	0.0000	128	41481515	3085.7	315815	383563	582837	596566	128	128	0	0	170062	317790	0	0	28476883	222475	5	65536	2	multi
pread_nowait_escalate	forward	7	1	10240	128	40	1.0000	1.0000	0.0000	0.0000	128	59440852	2153.4	455477	585380	741804	749558	128	128	32610	0	319808	682084	0	0	36417804	284514	6	65536	2	multi
pread_blocking_pooled	forward	7	1	15360	128	40	1.0000	1.0000	0.0000	0.0000	128	41004584	3121.6	293320	396773	707516	983251	128	128	0	0	252889	664626	0	0	25070740	195865	6	65536	2	multi
uring_nowait_whole	forward	1	8	20480	128	40	1.0000	1.0000	0.0000	0.0000	128	166501584	768.8	1383956	22794279	24314794	24483257	128	128	61840	0	1162405	23653351	0	0	42478662	331864	5	65536	2	multi
uring_whole	forward	1	8	25600	128	40	1.0000	1.0000	0.0000	0.0000	128	15002946	8531.7	833397	1121172	1360004	2163652	128	128	0	0	647678	1048913	0	0	23615073	184492	5	65536	2	multi
