arm	trace	repeat	concurrency	region_start	region_frames	region_stride	mix_target	mix_achieved	hit_resident	miss_resident	asks	wall_ns	throughput_fps	p50_ns	p90_ns	p99_ns	max_ns	hop_count	hop_events	hop_p50_ns	hop_p99_ns	gap_p99_ns	gap_max_ns	cpu_ns	cpu_per_ask_ns	threads_max	read_chunk	uring_depth	runtime
pread_nowait	forward	1	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	9836147	32533.1	217381	363386	521891	764747	0	0	0	0	0	0	38666326	120832	5	65536	2	multi
pread_nowait_escalate	forward	1	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	10716004	29861.9	235787	319322	408127	468705	0	0	0	0	0	0	41650261	130157	5	65536	2	multi
pread_nowait_chunked	forward	1	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	9639266	33197.5	216953	307248	380520	458458	0	0	0	0	0	0	38241192	119503	5	65536	2	multi
pread_blocking_pooled	forward	2	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	14294212	22386.7	314650	537060	837581	1021784	320	320	170002	594893	0	0	48532269	151663	21	65536	2	multi
uring_whole	forward	2	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	15841837	20199.7	227165	390446	3916196	4439716	0	0	0	0	0	0	44966761	140521	5	65536	2	multi
pread_nowait	forward	2	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	10135976	31570.7	227814	360013	480674	639237	0	0	0	0	0	0	40110920	125346	5	65536	2	multi
pread_nowait_escalate	forward	2	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	9561222	33468.5	220754	302287	377887	406412	0	0	0	0	0	0	37639622	117623	5	65536	2	multi
pread_nowait_chunked	forward	2	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	13363325	23946.1	297939	433181	599577	636504	0	0	0	0	0	0	53071430	165848	5	65536	2	multi
pread_blocking_pooled	forward	3	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	18235275	17548.4	351133	757450	1328926	1537403	320	320	199470	885888	0	0	58059809	181436	21	65536	2	multi
uring_whole	forward	3	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	10936532	29259.7	222987	390489	638856	841149	0	0	0	0	0	0	42144641	131702	5	65536	2	multi
