arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks	cpu_ns	threads_max	runtime	hop_count
mmap_naive	frames_16k_big.sbnd	warm	forward	full	16384	1	5120	5120	16737	1925	5254	2214	11879841	503	3868	77607	13219	0	0	0	0	0	30807906	9	multi	0
mmap_hybrid_mincore	frames_16k_big.sbnd	warm	forward	full	16384	1	5120	5120	28884	2910	7355	3252	17040874	405	3313	49286	20934	0	0	0	0	0	46889588	9	multi	0
mmap_touch_in_place	frames_16k_big.sbnd	warm	forward	full	16384	1	5120	5120	57921	4912	12344	5242	27599709	815	7354	125332	16322	0	2178	0	0	0	91021305	14	multi	5120
mmap_populate_read	frames_16k_big.sbnd	warm	forward	full	16384	1	5120	5120	78088	10325	18983	10709	55498525	332	4356	25231	63290	0	7551	0	0	0	129904941	11	multi	5120
mmap_blocking_touch	frames_16k_big.sbnd	warm	forward	full	16384	1	5120	5120	88111	9051	18050	9446	49090127	596	5065	40945	40407	0	5898	0	0	0	106872512	11	multi	5120
pread_blocking_pooled	frames_16k_big.sbnd	warm	forward	full	16384	1	5120	5120	77053	12673	22025	13094	68064592	713	5255	26503	51270	83886080	9053	0	0	0	153339022	11	multi	5120
pread_nowait_chunked	frames_16k_big.sbnd	warm	forward	full	16384	1	5120	5120	9809	3375	6155	3632	18922572	370	2766	15421	24785	83886080	0	0	0	0	49301240	9	multi	0
uring_nowait_whole	frames_16k_big.sbnd	warm	forward	full	16384	1	5120	5120	10727	3487	7146	3778	19858776	331	2700	14566	28152	83886080	0	0	0	0	53660977	9	multi	0
mmap_naive	frames_16k_big.sbnd	warm	forward	full	16384	2	5120	5120	8037	1531	4282	1776	9407993	360	2687	33786	14399	0	0	0	0	0	25107807	9	multi	0
mmap_hybrid_mincore	frames_16k_big.sbnd	warm	forward	full	16384	2	5120	5120	26946	3825	7286	4042	21228433	709	3494	19468	18789	0	0	0	0	0	53935431	9	multi	0
mmap_touch_in_place	frames_16k_big.sbnd	warm	forward	full	16384	2	5120	5120	46168	5227	12942	5588	29526307	840	8073	31628	16681	0	2354	0	0	0	97514298	14	multi	5120
mmap_populate_read	frames_16k_big.sbnd	warm	forward	full	16384	2	5120	5120	76573	11004	18711	11362	58957698	600	5238	54323	49923	0	7707	0	0	0	134493138	11	multi	5120
mmap_blocking_touch	frames_16k_big.sbnd	warm	forward	full	16384	2	5120	5120	99420	9140	16791	9516	49520089	631	5276	47396	34851	0	5839	0	0	0	106489282	11	multi	5120
pread_blocking_pooled	frames_16k_big.sbnd	warm	forward	full	16384	2	5120	5120	60692	12531	19988	12769	66210538	604	4985	72801	55401	83886080	9367	0	0	0	151307890	11	multi	5120
pread_nowait_chunked	frames_16k_big.sbnd	warm	forward	full	16384	2	5120	5120	40003	3319	6347	3616	18903961	846	2942	74367	14465	83886080	0	0	0	0	51637359	9	multi	0
uring_nowait_whole	frames_16k_big.sbnd	warm	forward	full	16384	2	5120	5120	12069	3443	6713	3713	19475427	869	3049	114107	14048	83886080	0	0	0	0	53103817	9	multi	0
