label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct	peak_named	peak_in_flight
size_250000	hybrid_lazyring	off	cold	stride	250000	500000	1	1	9	2	256	995240	1081041	2050266	241437	255226295	1003	9	0	0	99.6	0.000	0	0
size_250000	product	off	cold	stride	250000	500000	1	1	9	3	256	1478292	2099563	2586735	375367	403717336	634	9	0	0	99.6	0.000	1	1
size_250000	pool	off	cold	stride	250000	500000	1	1	10	0	256	921138	1189736	1328663	267427	251439637	1018	10	0	0	99.6	0.000	0	0
size_250000	hybrid_lazyring	off	cold	stride	250000	500000	1	1	10	1	256	813631	1181494	1689573	201174	227532211	1125	9	0	0	99.6	0.000	0	0
size_250000	product	off	cold	stride	250000	500000	1	1	10	2	256	1261115	1688602	2226397	276338	342540301	747	9	0	0	99.6	0.000	1	1
size_250000	product_ahead	off	cold	stride	250000	500000	1	1	10	3	256	784469	1438728	2152101	308784	214728123	1192	9	0	0	99.6	0.000	2	2
size_250000	hybrid_lazyring	off	cold	stride	250000	500000	1	1	11	0	256	898527	1051558	2487045	205312	245541988	1043	9	0	0	99.6	0.000	0	0
size_250000	product	off	cold	stride	250000	500000	1	1	11	1	256	1311448	1831565	2211227	298086	355649252	720	9	0	0	99.6	0.000	1	1
size_250000	product_ahead	off	cold	stride	250000	500000	1	1	11	2	256	583407	918930	1365308	136931	145998877	1753	9	0	0	99.6	0.000	2	2
size_250000	pool	off	cold	stride	250000	500000	1	1	11	3	256	1082230	1178531	1305240	306431	264210272	969	10	0	0	99.6	0.000	0	0
