label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct	peak_named	peak_in_flight
size_16384	pool	off	cold	stride	16384	500000	1	1	9	1	256	246553	325047	411062	54390	64491723	3970	10	0	0	99.6	0.000	0	0
size_16384	hybrid_lazyring	off	cold	stride	16384	500000	1	1	9	2	256	250509	358855	429260	37592	66697135	3838	9	0	0	99.6	0.000	0	0
size_16384	product	off	cold	stride	16384	500000	1	1	9	3	256	240457	302589	346065	34234	61993139	4129	9	0	0	99.6	0.000	1	1
size_16384	pool	off	cold	stride	16384	500000	1	1	10	0	256	237797	336528	464760	46067	63518852	4030	10	0	0	99.6	0.000	0	0
size_16384	hybrid_lazyring	off	cold	stride	16384	500000	1	1	10	1	256	244749	324899	405025	33959	63806656	4012	9	0	0	99.6	0.000	0	0
size_16384	product	off	cold	stride	16384	500000	1	1	10	2	256	250154	333116	395091	40133	65675363	3898	9	0	0	99.6	0.000	1	1
size_16384	product_ahead	off	cold	stride	16384	500000	1	1	10	3	256	125423	252773	389142	29891	37231809	6876	9	0	0	99.6	0.000	2	2
size_16384	hybrid_lazyring	off	cold	stride	16384	500000	1	1	11	0	256	321088	605246	2406243	58821	115595218	2215	9	0	0	99.6	0.000	0	0
size_16384	product	off	cold	stride	16384	500000	1	1	11	1	256	468505	2062329	2441050	109844	206007274	1243	9	0	0	99.6	0.000	1	1
size_16384	product_ahead	off	cold	stride	16384	500000	1	1	11	2	256	307650	1791187	2318519	111818	147771376	1732	9	0	0	99.6	0.000	2	2
size_16384	pool	off	cold	stride	16384	500000	1	1	11	3	256	477038	2119262	2393969	155814	202543538	1264	10	0	0	99.6	0.000	0	0
size_65536	product	off	cold	stride	65536	500000	1	1	0	0	256	1106389	3606214	4032040	168633	452658332	566	9	0	0	100.0	0.000	1	1
size_65536	product_ahead	off	cold	stride	65536	500000	1	1	0	1	256	614626	2954588	4505856	195037	313090749	818	9	0	0	100.0	0.000	2	2
size_65536	pool	off	cold	stride	65536	500000	1	1	0	2	256	1209851	3333210	4350274	207254	455438829	562	10	0	0	100.0	0.000	0	0
size_65536	hybrid_lazyring	off	cold	stride	65536	500000	1	1	0	3	256	1181855	3561914	4323387	158414	442242134	579	9	0	0	100.0	0.000	0	0
size_65536	product_ahead	off	cold	stride	65536	500000	1	1	1	0	256	640171	2947765	3560734	180329	307591071	832	9	0	0	100.0	0.000	2	2
size_65536	pool	off	cold	stride	65536	500000	1	1	1	1	256	419924	547604	652891	87387	113256700	2260	10	0	0	99.6	0.000	0	0
