label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct	peak_named	peak_in_flight	rss_kib	rings_built
fill_16k	pool	off	warm	sweep	16384	16384	1	1	8	2	256	2205	2490	5300	3371	741745	345132	9	0	0	0.0	0.000	0	0	4	0
fill_16k	pooled_pread	off	warm	sweep	16384	16384	1	1	8	3	256	11436	17302	40414	19788	3850094	66492	10	0	0	100.0	0.000	0	0	0	0
fill_16k	hybrid_lazyring	off	warm	sweep	16384	16384	1	1	9	0	256	3065	3566	5924	4256	1004692	254804	9	0	0	0.0	0.000	0	0	0	0
fill_16k	pool	off	warm	sweep	16384	16384	1	1	9	1	256	2641	3185	4184	4037	879992	290912	9	0	0	0.0	0.000	0	0	0	0
fill_16k	pooled_pread	off	warm	sweep	16384	16384	1	1	9	2	256	15680	16656	26683	22051	4099400	62448	10	0	0	100.0	0.000	0	0	0	0
fill_16k	product	off	warm	sweep	16384	16384	1	1	9	3	256	2499	2819	2997	3385	773345	331029	9	0	0	0.0	0.000	1	0	0	0
fill_16k	pool	off	warm	sweep	16384	16384	1	1	10	0	256	2184	2635	8014	3269	700882	365254	9	0	0	0.0	0.000	0	0	0	0
fill_16k	pooled_pread	off	warm	sweep	16384	16384	1	1	10	1	256	14399	20409	62036	22106	4404732	58119	11	0	0	100.0	0.000	0	0	0	0
fill_16k	product	off	warm	sweep	16384	16384	1	1	10	2	256	2732	3233	4188	3687	880140	290863	9	0	0	0.0	0.000	1	0	12	0
fill_16k	hybrid_lazyring	off	warm	sweep	16384	16384	1	1	10	3	256	2296	2612	2836	3607	696121	367752	9	0	0	0.0	0.000	0	0	0	0
fill_16k	pooled_pread	off	warm	sweep	16384	16384	1	1	11	0	256	12269	16311	37917	19402	3665314	69844	10	0	0	100.0	0.000	0	0	0	0
fill_16k	product	off	warm	sweep	16384	16384	1	1	11	1	256	2294	2618	3497	3298	701181	365098	9	0	0	0.0	0.000	1	0	0	0
fill_16k	hybrid_lazyring	off	warm	sweep	16384	16384	1	1	11	2	256	2202	2496	2747	3440	713683	358703	9	0	0	0.0	0.000	0	0	0	0
fill_16k	pool	off	warm	sweep	16384	16384	1	1	11	3	256	2528	2983	3429	4050	793450	322642	9	0	0	0.0	0.000	0	0	0	0
fill_16k	product	off	warm	sweep	16384	16384	1	16	0	0	4096	5970	6747	15388	6425	3741464	1094759	9	0	0	0.0	0.000	1	0	80	0
fill_16k	hybrid_lazyring	off	warm	sweep	16384	16384	1	16	0	1	4096	6190	6999	19854	6711	4326564	946710	9	0	0	0.0	0.000	0	0	16	0
fill_16k	pool	off	warm	sweep	16384	16384	1	16	0	2	4096	6204	7074	14024	6617	4872769	840590	9	0	0	0.0	0.000	0	0	28	0
fill_16k	pooled_pread	off	warm	sweep	16384	16384	1	16	0	3	4096	26946	108383	817650	25561	18610821	220087	85	0	0	100.0	0.000	0	0	1052	0
fill_16k	hybrid_lazyring	off	warm	sweep	16384	16384	1	16	1	0	4096	5946	6816	14005	6432	4358658	939739	9	0	0	0.0	0.000	0	0	224	0
fill_16k	pool	off	warm	sweep	16384	16384	1	16	1	1	4096	6099	6945	13767	6573	4444231	921644	9	0	0	0.0	0.000	0	0	32	0
fill_16k	pooled_pread	off	warm	sweep	16384	16384	1	16	1	2	4096	28158	105957	727793	25497	20481448	199986	98	0	0	100.0	0.000	0	0	948	0
fill_16k	product	off	warm	sweep	16384	16384	1	16	1	3	4096	6094	6866	17636	6584	3885958	1054052	9	0	0	0.0	0.000	1	0	200	0
fill_16k	pool	off	warm	sweep	16384	16384	1	16	2	0	4096	6273	7019	14423	6794	3938973	1039865	9	0	0	0.0	0.000	0	0	32	0
fill_16k	pooled_pread	off	warm	sweep	16384	16384	1	16	2	1	4096	27769	78423	764919	22476	16841267	243212	87	0	0	100.0	0.000	0	0	724	0
fill_16k	product	off	warm	sweep	16384	16384	1	16	2	2	4096	6145	6896	17316	6720	3858767	1061479	9	0	0	0.0	0.000	1	0	152	0
fill_16k	hybrid_lazyring	off	warm	sweep	16384	16384	1	16	2	3	4096	6239	7162	19460	6794	4842795	845793	9	0	0	0.0	0.000	0	0	0	0
fill_16k	pooled_pread	off	warm	sweep	16384	16384	1	16	3	0	4096	31996	117621	1049593	27185	23921013	171230	105	0	0	100.0	0.000	0	0	828	0
fill_16k	product	off	warm	sweep	16384	16384	1	16	3	1	4096	5407	6589	15781	6010	5631003	727401	9	0	0	0.0	0.000	1	0	108	0
fill_16k	hybrid_lazyring	off	warm	sweep	16384	16384	1	16	3	2	4096	6530	7243	14399	7016	4149999	986988	9	0	0	0.0	0.000	0	0	24	0
fill_16k	pool	off	warm	sweep	16384	16384	1	16	3	3	4096	6479	7203	14545	6955	4276432	957808	9	0	0	0.0	0.000	0	0	12	0
fill_16k	product	off	warm	sweep	16384	16384	1	16	4	0	4096	6565	7313	15689	7081	4153779	986090	9	0	0	0.0	0.000	1	0	0	0
fill_16k	hybrid_lazyring	off	warm	sweep	16384	16384	1	16	4	1	4096	6462	7186	13956	6964	4017102	1019641	9	0	0	0.0	0.000	0	0	0	0
