label	arm	temp	mode	depth	asks	p50_ns	p90_ns	p99_ns	wall_ns	asks_per_s	cpu_ns_per_ask	rss_kib	miss_pct	named
cold_d1_r6	after	cold	on-demand	1	256	309917	420231	529714	86284632	2967	156437	8	1.0	1
cold_d2_r6	after	cold	on-demand	2	256	391750	448247	516546	52582623	4869	121021	8	1.0	2
cold_d4_r6	after	cold	on-demand	4	256	460958	592092	655481	32457018	7887	119986	8	1.0	4
warm_d1_r6	after	warm	on-demand	1	256	128348	164706	197612	35809941	7149	111779	0	0.0	1
warm_d4_r6	after	warm	on-demand	4	256	273102	337475	391258	19778665	12943	105353	4	0.0	4
fill_r6	after	cold	fill	1	256	46311	122176	593162	20968403	12209	96429	1700	0.02702702702702703	2
cold_d1_r7	after	cold	on-demand	1	256	311299	425623	549168	87515457	2925	148568	8	1.0	1
cold_d2_r7	after	cold	on-demand	2	256	402398	446506	530002	53717932	4766	117365	8	1.0	2
cold_d4_r7	after	cold	on-demand	4	256	485342	601519	775270	33897475	7552	131959	8	1.0	4
warm_d1_r7	after	warm	on-demand	1	256	121418	157771	197526	34119012	7503	109794	0	0.0	1
warm_d4_r7	after	warm	on-demand	4	256	269700	353577	415412	19410506	13189	101975	0	0.0	4
fill_r7	after	cold	fill	1	256	41512	110127	1032659	20781711	12319	91744	1052	0.023890784982935155	2
cold_d1_r7	before	cold	on-demand	1	256	311702	410488	492510	86527070	2959	151803	8	1.0	-
cold_d2_r7	before	cold	on-demand	2	256	365964	417316	495183	50152723	5104	113871	8	1.0	-
cold_d4_r7	before	cold	on-demand	4	256	796597	934395	1129122	54722481	4678	165257	8	1.0	-
warm_d1_r7	before	warm	on-demand	1	256	127468	163425	204044	35776284	7156	119668	0	0.0	-
warm_d4_r7	before	warm	on-demand	4	256	312593	403331	474856	21998772	11637	123560	52	0.0	-
fill_r7	before	cold	fill	1	256	42045	109812	464708	20540527	12463	90499	1176	0.026119402985074626	-
cold_d1_r8	before	cold	on-demand	1	256	331197	438657	522839	91479256	2798	153356	8	1.0	-
cold_d2_r8	before	cold	on-demand	2	256	375524	430323	525780	51185934	5001	115561	8	1.0	-
cold_d4_r8	before	cold	on-demand	4	256	835862	925587	1014385	55920450	4578	164596	8	1.0	-
warm_d1_r8	before	warm	on-demand	1	256	117945	159267	184859	33081192	7739	104765	0	0.0	-
warm_d4_r8	before	warm	on-demand	4	256	291987	384361	479209	21148310	12105	116840	40	0.0	-
fill_r8	before	cold	fill	1	256	34735	130579	953621	20303026	12609	93573	1140	0.02631578947368421	-
cold_d1_r8	after	cold	on-demand	1	256	341419	404267	482504	90641801	2824	160311	8	1.0	1
cold_d2_r8	after	cold	on-demand	2	256	403864	466459	585133	54908452	4662	127701	8	1.0	2
cold_d4_r8	after	cold	on-demand	4	256	485841	642101	1412663	35184548	7276	130702	20	1.0	4
warm_d1_r8	after	warm	on-demand	1	256	123905	157641	198750	34261219	7472	111946	0	0.0	1
warm_d4_r8	after	warm	on-demand	4	256	296759	364871	423045	20966933	12210	107411	0	0.0	4
fill_r8	after	cold	fill	1	256	42228	99833	822969	20927576	12233	95677	988	0.025454545454545455	2
cold_d1_r9	after	cold	on-demand	1	256	329518	446888	598431	91507708	2798	162485	8	1.0	1
cold_d2_r9	after	cold	on-demand	2	256	398611	459283	527539	53959728	4744	116232	8	1.0	2
cold_d4_r9	after	cold	on-demand	4	256	472704	608001	703842	33373997	7671	126341	8	1.0	4
warm_d1_r9	after	warm	on-demand	1	256	127072	158044	195082	34938423	7327	113730	0	0.0	1
warm_d4_r9	after	warm	on-demand	4	256	277585	360350	435954	19946396	12834	99794	68	0.0	4
fill_r9	after	cold	fill	1	256	42507	118355	904675	19832740	12908	93054	996	0.027237354085603113	2
cold_d1_r9	before	cold	on-demand	1	256	314946	423391	562667	87961157	2910	150614	8	1.0	-
cold_d2_r9	before	cold	on-demand	2	256	380779	437567	498330	51735668	4948	110748	8	1.0	-
cold_d4_r9	before	cold	on-demand	4	256	815929	917984	1045765	54841888	4668	161581	8	1.0	-
warm_d1_r9	before	warm	on-demand	1	256	120427	153034	176622	33238271	7702	115261	0	0.0	-
warm_d4_r9	before	warm	on-demand	4	256	289633	362723	451247	20732217	12348	108073	0	0.0	-
fill_r9	before	cold	fill	1	256	41872	119161	897810	21067263	12152	95149	1080	0.02564102564102564	-
cold_d1_r10	before	cold	on-demand	1	256	331750	432359	561887	91377950	2802	151043	8	1.0	-
cold_d2_r10	before	cold	on-demand	2	256	385408	441422	533473	52328956	4892	104581	8	1.0	-
cold_d4_r10	before	cold	on-demand	4	256	822610	932775	1040372	55470257	4615	172537	8	1.0	-
warm_d1_r10	before	warm	on-demand	1	256	131720	166080	196247	36294754	7053	115363	0	0.0	-
warm_d4_r10	before	warm	on-demand	4	256	302742	395248	460659	21869371	11706	120786	12	0.0	-
fill_r10	before	cold	fill	1	256	43258	97128	578465	20653638	12395	93363	1096	0.02631578947368421	-
cold_d1_r10	after	cold	on-demand	1	256	309538	411919	546736	86694326	2953	155798	8	1.0	1
cold_d2_r10	after	cold	on-demand	2	256	367789	413909	507690	50061101	5114	116409	8	1.0	2
cold_d4_r10	after	cold	on-demand	4	256	464948	591793	674378	32668358	7836	123313	28	1.0	4
warm_d1_r10	after	warm	on-demand	1	256	173753	213976	245131	48097990	5322	150516	0	0.0	1
warm_d4_r10	after	warm	on-demand	4	256	283069	361263	448147	20589436	12434	101714	0	0.0	4
fill_r10	after	cold	fill	1	256	45442	131139	1191702	22306398	11477	105538	1136	0.026923076923076925	2
cold_d1_r11	after	cold	on-demand	1	256	358337	537869	1168006	111427221	2297	192208	8	1.0	1
cold_d2_r11	after	cold	on-demand	2	256	387496	448422	506984	52464936	4879	115750	8	1.0	2
cold_d4_r11	after	cold	on-demand	4	256	461720	597600	672171	32811690	7802	128897	8	1.0	4
warm_d1_r11	after	warm	on-demand	1	256	111496	149790	184427	31933994	8017	104921	0	0.0	1
warm_d4_r11	after	warm	on-demand	4	256	288850	352630	427950	20388046	12556	102332	0	0.0	4
fill_r11	after	cold	fill	1	256	48539	109202	841797	21606159	11848	97003	1048	0.02356902356902357	2
cold_d1_r11	before	cold	on-demand	1	256	312837	401624	517647	86946187	2944	151093	8	1.0	-
cold_d2_r11	before	cold	on-demand	2	256	380289	442647	2300530	57850692	4425	114047	8	1.0	-
cold_d4_r11	before	cold	on-demand	4	256	854658	959595	1087569	56953141	4495	164357	8	1.0	-
warm_d1_r11	before	warm	on-demand	1	256	92756	133701	175011	28441381	9001	91725	0	0.0	-
