label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct	peak_named	peak_in_flight	rss_kib	rings_built	monitors	short_reads	reads_per_ask
m_pool_r9	product	off	cold	stride	250000	500000	1	1	0	0	256	1299305	1910046	2379900	335835	366865237	698	10	0	0	99.6	0.000	1	1	284	0	0	0	1.01
m_pool_r9	pool	off	cold	stride	250000	500000	1	1	0	1	256	997542	1071395	1251564	288735	256929146	996	10	0	0	99.6	0.000	0	0	252	0	0	0	0.00
m_pool_r9	hybrid_lazyring	off	cold	stride	250000	500000	1	1	0	2	256	1497306	1674157	1871019	434738	342161419	748	9	0	0	99.6	0.000	0	1	504	0	0	0	0.00
m_uring_r9	product	off	cold	stride	250000	500000	1	1	0	0	256	873954	1028694	1163665	191095	226834362	1129	9	0	0	100.0	0.000	1	1	308	1	0	0	1.00
m_uring_r9	pool	off	cold	stride	250000	500000	1	1	0	1	256	810466	902957	979404	167162	206145181	1242	10	0	0	99.6	0.000	0	0	204	0	0	0	0.00
m_uring_r9	hybrid_lazyring	off	cold	stride	250000	500000	1	1	0	2	256	956482	1058789	1174460	231343	241749552	1059	9	0	0	99.6	0.000	0	1	496	0	0	0	0.00
m_pool_r10	product	off	cold	stride	250000	500000	1	1	0	0	256	1090565	1340577	1822878	195218	288159184	888	10	0	0	99.6	0.000	1	1	348	0	0	0	1.01
m_pool_r10	pool	off	cold	stride	250000	500000	1	1	0	1	256	855023	941475	995758	210081	219650847	1165	10	0	0	99.6	0.000	0	0	260	0	0	0	0.00
m_pool_r10	hybrid_lazyring	off	cold	stride	250000	500000	1	1	0	2	256	962184	1136445	1245572	245818	247116684	1036	9	0	0	99.6	0.000	0	1	256	0	0	0	0.00
m_uring_r10	product	off	cold	stride	250000	500000	1	1	0	0	256	1346129	1530803	1727973	306085	343224883	746	9	0	0	100.0	0.000	1	1	216	1	0	0	1.00
