arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks	cpu_us	threads_max	runtime	hop_count
uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	15	320	320	628789	76921	1006178	122061	39738828	0	0	0	0	80000000	1798029	0	0	0	40720	5	multi	4
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	15	320	320	630220	107235	306814	126814	41326432	0	0	0	0	80000000	1454356	0	0	0	43306	5	multi	4
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	16	320	320	710551	142087	222759	146452	47508283	0	0	0	0	80000000	697080	0	0	0	54351	6	multi	2
uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	16	320	320	666700	83544	265719	111685	36478585	0	0	0	0	80000000	2337838	0	0	0	36237	5	multi	4
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	16	320	320	770581	85557	208927	106709	35140953	0	0	0	0	80000000	1463167	0	0	0	36507	5	multi	4
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	17	320	320	647461	83004	1373527	277064	89093580	0	0	0	0	80000000	2390491	0	0	0	88990	6	multi	4
uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	17	320	320	510885	919128	1646890	831946	266091112	0	0	0	0	80000000	948485	0	0	0	270608	5	multi	3
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	17	320	320	555337	103111	980908	127070	41328308	0	0	0	0	80000000	472419	0	0	0	46632	5	multi	3
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	18	320	320	681858	77922	150327	91683	29982355	0	0	0	0	80000000	689183	0	0	0	32568	6	multi	3
uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	18	320	320	635280	84446	247786	118187	38575350	0	0	0	0	80000000	2757148	0	0	0	37685	5	multi	4
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	18	320	320	571042	92460	258397	109708	35790860	0	0	0	0	80000000	1367417	0	0	0	37731	5	multi	4
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	19	320	320	780995	76068	144586	102346	33483720	0	0	0	0	80000000	2515496	0	0	0	31610	6	multi	4
uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	19	320	320	674637	83147	208719	112692	36777259	0	0	0	0	80000000	2283602	0	0	0	36181	5	multi	4
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	19	320	320	813742	91025	203678	110277	36184516	0	0	0	0	80000000	1599241	0	0	0	37067	5	multi	4
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	20	320	320	546429	82358	167880	104950	34082979	0	0	0	0	80000000	1641033	0	0	0	34476	6	multi	4
