arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks	cpu_ns	threads_max	runtime	hop_count
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	6	320	320	230104	171003	326181	170176	54678036	345	26413	90269	21023	0	32919	0	0	0	80989517	6	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	7	320	320	163737	82399	155490	89800	28879671	553	19043	86028	15317	80000000	0	0	0	0	65985661	5	multi	0
pread_nowait_escalate	frames_250k_live.sbnd	warm	forward	full	16384	7	320	320	298980	72152	145374	81647	26414548	316	18090	88907	17740	80000000	0	0	0	0	58238517	5	multi	0
pread_nowait	frames_250k_live.sbnd	warm	forward	full	16384	7	320	320	296628	81089	146991	87580	28296530	710	21436	230497	11830	80000000	0	0	0	0	63049779	5	multi	0
pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	7	320	320	372551	312641	446980	302211	96954355	304	20878	139441	47924	80000000	148781	0	0	0	159445549	6	multi	320
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	full	16384	7	320	320	274997	196908	330596	192181	61689080	307	23799	90868	24890	0	43441	0	0	0	91160877	6	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	warm	reverse	full	16384	1	320	320	164951	70757	172576	80061	25755865	710	17317	201606	22604	80000000	0	0	0	0	52764769	5	multi	0
pread_nowait_escalate	frames_250k_live.sbnd	warm	reverse	full	16384	1	320	320	107755	78842	320715	93992	30165812	308	18086	54810	29428	80000000	0	0	0	0	65355565	5	multi	0
pread_nowait	frames_250k_live.sbnd	warm	reverse	full	16384	1	320	320	178248	71347	151451	79381	25565360	370	16729	66757	16899	80000000	0	0	0	0	56813415	5	multi	0
pread_blocking_pooled	frames_250k_live.sbnd	warm	reverse	full	16384	1	320	320	4120016	340243	531940	338302	112233569	483	26939	163877	33112	80000000	161661	0	0	0	179566970	6	multi	320
mmap_blocking_touch	frames_250k_live.sbnd	warm	reverse	full	16384	1	320	320	287612	221431	373293	222408	71354282	308	25660	155422	25823	0	49433	0	0	0	101174345	6	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	warm	reverse	full	16384	2	320	320	223864	74171	182028	83610	26961203	314	17738	87663	17482	80000000	0	0	0	0	60021361	5	multi	0
pread_nowait_escalate	frames_250k_live.sbnd	warm	reverse	full	16384	2	320	320	108981	77886	150447	84777	27208043	340	17980	82231	18033	80000000	0	0	0	0	60268056	5	multi	0
pread_nowait	frames_250k_live.sbnd	warm	reverse	full	16384	2	320	320	189798	70089	150884	77903	25099894	319	17189	923251	18994	80000000	0	0	0	0	55037846	5	multi	0
pread_blocking_pooled	frames_250k_live.sbnd	warm	reverse	full	16384	2	320	320	473285	185427	312162	188568	60816032	317	21728	91015	33059	80000000	91634	0	0	0	107933346	6	multi	320
mmap_blocking_touch	frames_250k_live.sbnd	warm	reverse	full	16384	2	320	320	295802	219931	415042	231758	74377818	387	29419	131498	22808	0	50982	0	0	0	103934723	6	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	warm	reverse	full	16384	3	320	320	121420	83517	150256	91923	29503260	326	15651	78257	20216	80000000	0	0	0	0	66478765	5	multi	0
pread_nowait_escalate	frames_250k_live.sbnd	warm	reverse	full	16384	3	320	320	101674	77290	161287	86049	27619636	474	22975	105070	9666	80000000	0	0	0	0	61703596	5	multi	0
pread_nowait	frames_250k_live.sbnd	warm	reverse	full	16384	3	320	320	333451	71804	156965	81393	26358034	352	18282	270122	17002	80000000	0	0	0	0	59007009	5	multi	0
pread_blocking_pooled	frames_250k_live.sbnd	warm	reverse	full	16384	3	320	320	354124	297106	468481	295335	94742214	412	23101	117149	31750	80000000	139387	0	0	0	152957479	6	multi	320
mmap_blocking_touch	frames_250k_live.sbnd	warm	reverse	full	16384	3	320	320	303792	175834	354596	180294	57941349	324	21964	111887	25341	0	39079	0	0	0	89720190	6	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	warm	reverse	full	16384	4	320	320	218306	84087	168417	93038	29966449	316	14642	75532	19745	80000000	0	0	0	0	66668192	5	multi	0
pread_nowait_escalate	frames_250k_live.sbnd	warm	reverse	full	16384	4	320	320	209842	83310	200968	94387	30385492	315	15539	102353	20388	80000000	0	0	0	0	67794825	5	multi	0
pread_nowait	frames_250k_live.sbnd	warm	reverse	full	16384	4	320	320	199391	86107	162841	93292	30028908	331	15731	172614	19639	80000000	0	0	0	0	66777240	5	multi	0
pread_blocking_pooled	frames_250k_live.sbnd	warm	reverse	full	16384	4	320	320	314315	227541	452777	240447	77166097	327	23467	124068	35393	80000000	106909	0	0	0	132454090	6	multi	320
mmap_blocking_touch	frames_250k_live.sbnd	warm	reverse	full	16384	4	320	320	278640	182133	405676	183433	58921727	314	22768	145428	27377	0	39811	0	0	0	90581797	6	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	warm	reverse	full	16384	5	320	320	104873	83104	207816	92954	29822422	700	17577	112255	14499	80000000	0	0	0	0	64668214	5	multi	0
pread_nowait_escalate	frames_250k_live.sbnd	warm	reverse	full	16384	5	320	320	256460	70827	147547	79885	25801779	321	16260	79089	17823	80000000	0	0	0	0	57504877	5	multi	0
pread_nowait	frames_250k_live.sbnd	warm	reverse	full	16384	5	320	320	256839	80021	151883	88076	28432149	530	21230	113624	13615	80000000	0	0	0	0	64622449	5	multi	0
pread_blocking_pooled	frames_250k_live.sbnd	warm	reverse	full	16384	5	320	320	351159	333283	481613	339714	108987496	350	22162	148340	43563	80000000	146910	0	0	0	173784683	6	multi	320
mmap_blocking_touch	frames_250k_live.sbnd	warm	reverse	full	16384	5	320	320	201776	180765	437186	194809	62468466	633	31701	127769	15337	0	35067	0	0	0	88138834	6	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	warm	reverse	full	16384	6	320	320	160800	101150	215827	112760	36264792	305	17169	314245	27815	80000000	0	0	0	0	79942624	5	multi	0
pread_nowait_escalate	frames_250k_live.sbnd	warm	reverse	full	16384	6	320	320	157491	99253	191696	109054	35046189	315	16120	115057	22389	80000000	0	0	0	0	75014683	5	multi	0
pread_nowait	frames_250k_live.sbnd	warm	reverse	full	16384	6	320	320	192504	93581	169882	100563	32338166	704	16110	159526	14938	80000000	0	0	0	0	71460673	5	multi	0
pread_blocking_pooled	frames_250k_live.sbnd	warm	reverse	full	16384	6	320	320	356973	219884	390021	231462	74350456	320	21925	121695	36095	80000000	102883	0	0	0	128444614	6	multi	320
mmap_blocking_touch	frames_250k_live.sbnd	warm	reverse	full	16384	6	320	320	337747	216402	442125	227923	73166349	704	33335	119586	15569	0	43711	0	0	0	102675128	6	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	warm	reverse	full	16384	7	320	320	209673	93962	183353	103183	33226145	740	22047	142422	10356	80000000	0	0	0	0	73300790	5	multi	0
pread_nowait_escalate	frames_250k_live.sbnd	warm	reverse	full	16384	7	320	320	227720	81656	136441	86913	28020625	346	17438	537408	17497	80000000	0	0	0	0	62901942	5	multi	0
pread_nowait	frames_250k_live.sbnd	warm	reverse	full	16384	7	320	320	237821	82311	143860	91046	29352914	314	15609	162347	19200	80000000	0	0	0	0	65381789	5	multi	0
pread_blocking_pooled	frames_250k_live.sbnd	warm	reverse	full	16384	7	320	320	355003	231768	444139	237601	76382847	317	22432	123746	37754	80000000	110172	0	0	0	131459276	6	multi	320
mmap_blocking_touch	frames_250k_live.sbnd	warm	reverse	full	16384	7	320	320	196960	191774	384347	201340	64536393	371	24613	105575	23258	0	46848	0	0	0	94867285	6	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	770282	1199843	3726484	900470	288155162	320	18987	1182284	174878	80000000	2506829	0	0	0	630111519	6	multi	5
pread_nowait_escalate	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	732229	70365	4443320	244730	78876558	458	18602	241271	37213	80000000	4289938	0	0	0	147258032	6	multi	7
pread_nowait	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	3595419	54348	3913214	186128	63045902	370	17635	335173	33880	80000000	3731223	0	0	0	108961251	6	multi	7
pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	1540572	239426	418559	246701	80393722	317	23808	162848	37034	80000000	103161	0	0	0	135859903	6	multi	320
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	1	320	320	1939138	203934	444236	217639	71533577	470	28003	89598	22102	0	45031	0	0	0	106600179	6	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	665262	64704	3914125	148223	48011424	382	16765	182663	28506	80000000	3718296	0	0	0	81487615	6	multi	7
pread_nowait_escalate	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	731025	60751	4270594	142682	46315426	322	18946	286716	28314	80000000	4152440	0	0	0	79389019	6	multi	7
pread_nowait	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	1440487	72881	3757018	182057	59593053	489	19178	396788	28120	80000000	3888204	0	0	0	112555880	6	multi	6
pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	1250226	425319	2350660	886346	284211464	314	18797	123778	165056	80000000	282986	0	0	0	593679224	6	multi	320
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	2	320	320	1846066	226363	1607922	292733	95440865	457	29267	110483	28712	0	53833	0	0	0	148096971	6	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	705234	53958	4792758	196616	63497896	372	15450	204692	36421	80000000	4582091	0	0	0	115999695	6	multi	7
pread_nowait_escalate	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	858454	63449	4507489	143782	46788412	726	18224	163136	20273	80000000	4348978	0	0	0	78831075	6	multi	7
pread_nowait	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	1386776	69176	3204698	195259	63763243	528	20222	1995744	23011	80000000	3065861	0	0	0	100357335	6	multi	7
pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	1640149	224827	453783	241727	78934371	314	23881	148939	36811	80000000	99766	0	0	0	129600152	6	multi	320
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	3	320	320	2353760	184047	646317	205292	67984697	315	28124	147427	25573	0	42246	0	0	0	98896543	6	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	825809	1263695	1859273	1200463	383930965	370	16277	848088	201825	80000000	4845581	0	0	0	820790076	6	multi	4
pread_nowait_escalate	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	619505	50797	3845240	138272	44788230	424	17195	176217	28832	80000000	3700279	0	0	0	71463752	6	multi	7
pread_nowait	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	1197500	50657	2881175	130854	42995113	505	17964	348446	17919	80000000	2729995	0	0	0	70561478	6	multi	7
pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	1424480	152036	368500	179830	58933609	373	19671	141250	30769	80000000	65395	0	0	0	96120794	6	multi	320
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	4	320	320	2410082	161911	401743	172238	57449955	728	27490	219151	15575	0	33253	0	0	0	85366610	6	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	770557	69590	3957750	157891	51233687	488	25304	187880	17421	80000000	3809466	0	0	0	86311329	6	multi	7
pread_nowait_escalate	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	915468	67397	4098473	225446	72917055	426	22535	1064939	29593	80000000	3901366	0	0	0	122193424	6	multi	7
pread_nowait	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	1551703	64015	3368232	149459	49317804	330	18744	458876	30218	80000000	3109362	0	0	0	84290126	6	multi	7
pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	2330979	213203	453037	227160	74989170	478	28519	149033	24686	80000000	82739	0	0	0	121699359	6	multi	320
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	5	320	320	3194662	234708	3480332	599441	194538189	439	20157	314601	77419	0	58208	0	0	0	380214849	6	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	6	320	320	757575	68233	2510808	488904	156837482	381	16337	188014	82437	80000000	4285310	0	0	0	325757134	6	multi	6
pread_nowait_escalate	frames_250k_live.sbnd	cold	forward	full	16384	6	320	320	749991	64611	3115588	132968	43231983	375	15722	281153	24961	80000000	2954458	0	0	0	75301166	6	multi	7
pread_nowait	frames_250k_live.sbnd	cold	forward	full	16384	6	320	320	1666486	67162	1914681	129132	42927312	500	17454	100422	19413	80000000	2672971	0	0	0	78031503	6	multi	6
pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	6	320	320	1643330	197409	465683	207603	68027513	378	21442	162569	31695	80000000	79884	0	0	0	111489303	7	multi	320
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	6	320	320	1932766	196122	404457	209958	69014319	447	29120	116242	20618	0	39102	0	0	0	100837668	6	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	7	320	320	549473	71868	3029466	175515	56612811	514	22735	175523	22285	80000000	2874693	0	0	0	100804051	6	multi	7
pread_nowait_escalate	frames_250k_live.sbnd	cold	forward	full	16384	7	320	320	647908	55319	4512185	170883	55228830	365	15525	213786	32736	80000000	4425476	0	0	0	96526907	6	multi	7
pread_nowait	frames_250k_live.sbnd	cold	forward	full	16384	7	320	320	3590807	1147766	3643054	871677	281811632	705	17907	3619399	118586	80000000	3799805	0	0	0	573864480	6	multi	5
pread_blocking_pooled	frames_250k_live.sbnd	cold	forward	full	16384	7	320	320	1595263	188564	2191865	424563	137166078	372	17332	228634	68033	80000000	73442	0	0	0	263933869	6	multi	320
mmap_blocking_touch	frames_250k_live.sbnd	cold	forward	full	16384	7	320	320	2214388	180639	2653807	250817	82347694	319	19527	81836	38911	0	39487	0	0	0	138765258	6	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	reverse	full	16384	1	320	320	762799	570531	867515	578805	185622827	308	22614	448001	99737	80000000	318491	0	0	0	264852960	6	multi	320
pread_nowait_escalate	frames_250k_live.sbnd	cold	reverse	full	16384	1	320	320	701528	659087	2410523	727006	232829988	450	45849	439135	68656	80000000	483516	0	0	0	346497298	6	multi	320
pread_nowait	frames_250k_live.sbnd	cold	reverse	full	16384	1	320	320	776376	502749	815304	512949	164600594	329	19381	530221	74878	80000000	324399	0	0	0	238947116	6	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	cold	reverse	full	16384	1	320	320	984971	455376	779555	475508	152866484	445	18440	344889	62267	80000000	339843	0	0	0	239198532	6	multi	320
mmap_blocking_touch	frames_250k_live.sbnd	cold	reverse	full	16384	1	320	320	7984617	178691	4260019	386267	131306794	452	19531	318276	50127	0	51810	0	0	0	187520732	6	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	reverse	full	16384	2	320	320	860501	568627	1096135	591341	189688151	315	23722	1678861	96991	80000000	312778	0	0	0	266822980	6	multi	320
pread_nowait_escalate	frames_250k_live.sbnd	cold	reverse	full	16384	2	320	320	900582	546853	728522	550922	176832685	313	19132	262068	103450	80000000	393791	0	0	0	270638989	6	multi	320
pread_nowait	frames_250k_live.sbnd	cold	reverse	full	16384	2	320	320	714851	466132	680840	468123	150198095	397	19194	442368	70269	80000000	297355	0	0	0	213286060	6	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	cold	reverse	full	16384	2	320	320	640280	449301	640708	458736	147133632	450	19054	154447	67150	80000000	346993	0	0	0	225340336	6	multi	320
mmap_blocking_touch	frames_250k_live.sbnd	cold	reverse	full	16384	2	320	320	5160787	268191	4780299	526261	173194360	409	23401	535177	71264	0	80888	0	0	0	253225604	6	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	reverse	full	16384	3	320	320	690289	709729	925647	713698	228576832	320	34392	166598	97841	80000000	383720	0	0	0	323131896	6	multi	320
