label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct	peak_named	peak_in_flight	rss_kib	rings_built
mon0_r7	pool	off	warm	stride	250000	500000	1	1	0	2	256	35049	41311	56074	38524	9849185	25992	9	0	0	0.0	0.000	0	0	260	0
mon0_r8	product	off	warm	stride	250000	500000	1	1	0	0	256	38928	50201	62166	42478	10808146	23686	9	0	0	0.0	0.000	1	0	300	0
mon0_r8	hybrid_lazyring	off	warm	stride	250000	500000	1	1	0	1	256	35753	43818	64068	39457	10107847	25327	9	0	0	0.0	0.000	0	0	256	0
mon0_r8	pool	off	warm	stride	250000	500000	1	1	0	2	256	34308	39593	52789	37706	9614049	26628	9	0	0	0.0	0.000	0	0	256	0
mon1_r8	product	off	warm	stride	250000	500000	1	1	0	0	256	39158	48498	65506	42859	10788496	23729	9	24773	10608443	0.0	0.000	1	0	300	0
mon1_r8	hybrid_lazyring	off	warm	stride	250000	500000	1	1	0	1	256	36733	43184	58364	39599	10132454	25265	9	6197	9957197	0.0	0.000	0	0	252	0
mon1_r8	pool	off	warm	stride	250000	500000	1	1	0	2	256	35603	42434	54919	36080	9833529	26033	9	8680	9680849	0.0	0.000	0	0	4	0
mon1_r9	product	off	warm	stride	250000	500000	1	1	0	0	256	37312	47949	61662	42572	10516992	24342	9	13415	10313492	0.0	0.000	1	0	180	0
mon1_r9	hybrid_lazyring	off	warm	stride	250000	500000	1	1	0	1	256	35730	43403	57472	39329	10042166	25493	9	7612	9876600	0.0	0.000	0	0	256	0
mon1_r9	pool	off	warm	stride	250000	500000	1	1	0	2	256	36381	44230	57601	39560	10185238	25134	9	7132	9965801	0.0	0.000	0	0	8	0
mon0_r9	product	off	warm	stride	250000	500000	1	1	0	0	256	36737	43405	54140	39878	10161442	25193	9	0	0	0.0	0.000	1	0	272	0
mon0_r9	hybrid_lazyring	off	warm	stride	250000	500000	1	1	0	1	256	38486	46376	67182	41641	10696754	23932	9	0	0	0.0	0.000	0	0	256	0
mon0_r9	pool	off	warm	stride	250000	500000	1	1	0	2	256	35096	40741	53164	38563	9795193	26135	9	0	0	0.0	0.000	0	0	260	0
mon0_r10	product	off	warm	stride	250000	500000	1	1	0	0	256	36305	41431	53192	39322	9978882	25654	9	0	0	0.0	0.000	1	0	212	0
mon0_r10	hybrid_lazyring	off	warm	stride	250000	500000	1	1	0	1	256	33720	35451	51611	36426	9202661	27818	9	0	0	0.0	0.000	0	0	256	0
mon0_r10	pool	off	warm	stride	250000	500000	1	1	0	2	256	34901	42224	57407	39066	9878459	25915	9	0	0	0.0	0.000	0	0	260	0
mon1_r10	product	off	warm	stride	250000	500000	1	1	0	0	256	35301	50664	67958	105759	10424761	24557	9	4571	18660	0.0	0.000	1	0	288	0
mon1_r10	hybrid_lazyring	off	warm	stride	250000	500000	1	1	0	1	256	33617	38788	59399	36014	9401706	27229	9	6076	9222635	0.0	0.000	0	0	260	0
mon1_r10	pool	off	warm	stride	250000	500000	1	1	0	2	256	34110	35956	50754	34438	9342610	27401	9	6735	9191278	0.0	0.000	0	0	256	0
mon1_r11	product	off	warm	stride	250000	500000	1	1	0	0	256	36661	48917	60290	40331	10461631	24470	9	7226	10237954	0.0	0.000	1	0	76	0
mon1_r11	hybrid_lazyring	off	warm	stride	250000	500000	1	1	0	1	256	36947	45467	59210	102923	10370892	24684	9	4811	19205	0.0	0.000	0	0	376	0
mon1_r11	pool	off	warm	stride	250000	500000	1	1	0	2	256	33620	38922	49881	36104	9339769	27410	9	6250	9152406	0.0	0.000	0	0	256	0
mon0_r11	product	off	warm	stride	250000	500000	1	1	0	0	256	36725	45070	55845	40395	10176684	25156	9	0	0	0.0	0.000	1	0	252	0
mon0_r11	hybrid_lazyring	off	warm	stride	250000	500000	1	1	0	1	256	36646	45624	56642	40909	10305093	24842	9	0	0	0.0	0.000	0	0	256	0
mon0_r11	pool	off	warm	stride	250000	500000	1	1	0	2	256	34712	42860	69881	38355	10006867	25582	9	0	0	0.0	0.000	0	0	252	0
