label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct	peak_named	peak_in_flight
w2_250k_depth	product_sessions	off	cold	stride	250000	500000	1	1	8	1	256	998972	1264304	1729566	1639726	265762029	963	9	5105	326347	99.6	0.000	0	0
w2_250k_depth	pool	off	cold	stride	250000	500000	1	1	8	2	256	725603	854420	2558820	1307984	202854255	1262	10	3809	385608	99.6	0.000	0	0
w2_250k_depth	hybrid_lazyring	off	cold	stride	250000	500000	1	1	8	3	256	725423	840474	1103272	1170707	190470990	1344	9	4878	242907	99.6	0.000	0	0
w2_250k_depth	product_sessions	off	cold	stride	250000	500000	1	1	9	0	256	984448	1150202	1678410	1597964	261420992	979	9	4868	402759	99.6	0.000	0	0
w2_250k_depth	pool	off	cold	stride	250000	500000	1	1	9	1	256	711821	791824	956247	1176924	183626197	1394	10	3743	415108	99.6	0.000	0	0
w2_250k_depth	hybrid_lazyring	off	cold	stride	250000	500000	1	1	9	2	256	949134	1043147	1128011	1514750	244009276	1049	9	4652	326629	99.6	0.000	0	0
w2_250k_depth	product	off	cold	stride	250000	500000	1	1	9	3	256	987576	1153643	1641049	1607635	259832792	985	9	4770	137085	99.6	0.000	1	1
w2_250k_depth	pool	off	cold	stride	250000	500000	1	1	10	0	256	700325	785132	885661	1175502	182412737	1403	10	3452	345588	99.6	0.000	0	0
w2_250k_depth	hybrid_lazyring	off	cold	stride	250000	500000	1	1	10	1	256	726010	811773	1023602	1191880	188524933	1358	9	4885	327582	99.6	0.000	0	0
w2_250k_depth	product	off	cold	stride	250000	500000	1	1	10	2	256	974824	1496357	2273919	1615632	271801841	942	9	4907	361438	99.6	0.000	1	1
w2_250k_depth	product_sessions	off	cold	stride	250000	500000	1	1	10	3	256	998913	1780807	4589876	1919282	313876206	816	9	4772	348341	99.6	0.000	0	0
w2_250k_depth	hybrid_lazyring	off	cold	stride	250000	500000	1	1	11	0	256	736769	833673	1122041	1213237	193421300	1324	9	5482	2185801	99.6	0.000	0	0
w2_250k_depth	product	off	cold	stride	250000	500000	1	1	11	1	256	986058	1216749	1694817	1620260	263380788	972	9	4980	305331	99.6	0.000	1	1
w2_250k_depth	product_sessions	off	cold	stride	250000	500000	1	1	11	2	256	985701	1294933	1692239	1623999	266336196	961	9	4782	271121	99.6	0.000	0	0
w2_250k_depth	pool	off	cold	stride	250000	500000	1	1	11	3	256	704541	787064	896595	1200948	183232408	1397	10	3510	273207	99.6	0.000	0	0
w2_250k_depth	product	off	cold	stride	250000	500000	4	1	0	0	256	307316	664403	2190080	584348	94757249	2702	9	8276	803005	99.6	0.000	4	4
w2_250k_depth	product_sessions	off	cold	stride	250000	500000	4	1	0	1	256	1286037	1505591	2193314	526065	84026073	3047	9	10173	349547	99.6	0.000	0	0
w2_250k_depth	pool	off	cold	stride	250000	500000	4	1	0	2	256	910011	1400227	1888272	391082	64318967	3980	15	7583	1774415	99.6	0.000	0	0
w2_250k_depth	hybrid_lazyring	off	cold	stride	250000	500000	4	1	0	3	256	921245	1119031	1783628	390370	63067460	4059	9	8870	1216729	99.6	0.000	0	0
w2_250k_depth	product_sessions	off	cold	stride	250000	500000	4	1	1	0	256	2088219	2221833	2643884	839167	135102624	1895	9	5693	155550	99.6	0.000	0	0
w2_250k_depth	pool	off	cold	stride	250000	500000	4	1	1	1	256	869215	997481	1217028	382282	56661704	4518	13	5204	339198	99.6	0.000	0	0
w2_250k_depth	hybrid_lazyring	off	cold	stride	250000	500000	4	1	1	2	256	873199	1072728	1564730	391833	59663300	4291	9	7247	644839	99.6	0.000	0	0
w2_250k_depth	product	off	cold	stride	250000	500000	4	1	1	3	256	276208	667049	1443957	558520	87734803	2918	9	6625	228098	99.6	0.000	4	4
w2_250k_depth	pool	off	cold	stride	250000	500000	4	1	2	0	256	878409	1121563	2999197	418186	63910176	4006	13	5081	393759	99.6	0.000	0	0
w2_250k_depth	hybrid_lazyring	off	cold	stride	250000	500000	4	1	2	1	256	870589	1005347	1243249	370264	57736267	4434	9	9666	566979	99.6	0.000	0	0
w2_250k_depth	product	off	cold	stride	250000	500000	4	1	2	2	256	294741	582719	786839	534989	83511016	3065	9	6441	394251	99.6	0.000	4	4
w2_250k_depth	product_sessions	off	cold	stride	250000	500000	4	1	2	3	256	1259393	1471661	1595762	532069	82074369	3119	9	7896	253730	99.6	0.000	0	0
w2_250k_depth	hybrid_lazyring	off	cold	stride	250000	500000	4	1	3	0	256	874643	1048907	2857972	404911	61523621	4161	9	8654	641194	99.6	0.000	0	0
w2_250k_depth	product	off	cold	stride	250000	500000	4	1	3	1	256	296545	623661	842326	528190	81045728	3159	9	6978	184268	99.6	0.000	4	4
w2_250k_depth	product_sessions	off	cold	stride	250000	500000	4	1	3	2	256	1259936	1469343	1860159	534817	81830250	3128	9	6149	322049	99.6	0.000	0	0
w2_250k_depth	pool	off	cold	stride	250000	500000	4	1	3	3	256	857958	970489	1165006	373579	55651191	4600	13	4526	246082	99.6	0.000	0	0
w2_250k_depth	product	off	cold	stride	250000	500000	4	1	4	0	256	283604	589405	883044	541254	83487605	3066	9	7474	442290	99.6	0.000	4	4
w2_250k_depth	product_sessions	off	cold	stride	250000	500000	4	1	4	1	256	1240155	1387067	1535663	519495	79972755	3201	9	6371	307262	99.6	0.000	0	0
w2_250k_depth	pool	off	cold	stride	250000	500000	4	1	4	2	256	859880	966728	1085190	384431	55967487	4574	13	4137	310269	99.6	0.000	0	0
w2_250k_depth	hybrid_lazyring	off	cold	stride	250000	500000	4	1	4	3	256	861565	987275	1100021	393739	57076359	4485	9	7198	406576	99.6	0.000	0	0
w2_250k_depth	product_sessions	off	cold	stride	250000	500000	4	1	5	0	256	1224399	1400995	1596135	508728	79416402	3224	9	5915	334388	99.6	0.000	0	0
w2_250k_depth	pool	off	cold	stride	250000	500000	4	1	5	1	256	2055004	2144724	2315503	874483	131109470	1953	13	3589	229540	99.6	0.000	0	0
w2_250k_depth	hybrid_lazyring	off	cold	stride	250000	500000	4	1	5	2	256	857723	1060188	2722990	414696	63028078	4062	9	5669	758391	99.6	0.000	0	0
w2_250k_depth	product	off	cold	stride	250000	500000	4	1	5	3	256	268373	655982	850488	525757	80826213	3167	9	6001	418260	99.6	0.000	4	4
w2_250k_depth	pool	off	cold	stride	250000	500000	4	1	6	0	256	861193	971073	1169740	372108	56154773	4559	14	4650	354919	99.6	0.000	0	0
w2_250k_depth	hybrid_lazyring	off	cold	stride	250000	500000	4	1	6	1	256	877477	1034804	1730951	408340	59582622	4297	9	6956	731783	99.6	0.000	0	0
w2_250k_depth	product	off	cold	stride	250000	500000	4	1	6	2	256	296928	604373	799123	536404	82699696	3096	9	7038	500279	99.6	0.000	4	4
w2_250k_depth	product_sessions	off	cold	stride	250000	500000	4	1	6	3	256	2136922	2251994	2404324	836884	137061940	1868	9	5527	331835	99.6	0.000	0	0
w2_250k_depth	hybrid_lazyring	off	cold	stride	250000	500000	4	1	7	0	256	873625	1013670	1166216	363862	57714931	4436	9	9668	837688	99.6	0.000	0	0
w2_250k_depth	product	off	cold	stride	250000	500000	4	1	7	1	256	289448	640250	902014	522990	83591537	3063	9	6720	390089	99.6	0.000	4	4
w2_250k_depth	product_sessions	off	cold	stride	250000	500000	4	1	7	2	256	1262687	1442464	1660226	538206	82359465	3108	9	7314	308102	99.6	0.000	0	0
w2_250k_depth	pool	off	cold	stride	250000	500000	4	1	7	3	256	891250	1240564	1689365	419116	61490031	4163	14	5010	533794	99.6	0.000	0	0
w2_250k_depth	product	off	cold	stride	250000	500000	4	1	8	0	256	305514	616892	838859	537277	83438947	3068	9	10708	338891	99.6	0.000	4	4
w2_250k_depth	product_sessions	off	cold	stride	250000	500000	4	1	8	1	256	1267048	1467903	1838507	526362	82290631	3111	9	6900	336098	99.6	0.000	0	0
w2_250k_depth	pool	off	cold	stride	250000	500000	4	1	8	2	256	2053945	2146250	2231151	872231	131203068	1951	13	4164	266406	99.6	0.000	0	0
w2_250k_depth	hybrid_lazyring	off	cold	stride	250000	500000	4	1	8	3	256	870844	1014607	1357883	376887	58509184	4375	9	10556	534597	99.6	0.000	0	0
w2_250k_depth	product_sessions	off	cold	stride	250000	500000	4	1	9	0	256	1243705	1402547	1633838	528747	81097257	3157	9	6824	181122	99.6	0.000	0	0
w2_250k_depth	pool	off	cold	stride	250000	500000	4	1	9	1	256	857338	1021343	1809589	387478	58283657	4392	14	5152	354900	99.6	0.000	0	0
w2_250k_depth	hybrid_lazyring	off	cold	stride	250000	500000	4	1	9	2	256	869146	998963	1182849	375278	57533291	4450	9	17292	1062743	99.6	0.000	0	0
w2_250k_depth	product	off	cold	stride	250000	500000	4	1	9	3	256	510525	749324	1018408	860344	136021361	1882	9	5505	170462	99.6	0.000	4	4
w2_250k_depth	pool	off	cold	stride	250000	500000	4	1	10	0	256	865790	1010669	1161552	384115	56725602	4513	14	5221	577226	99.6	0.000	0	0
w2_250k_depth	hybrid_lazyring	off	cold	stride	250000	500000	4	1	10	1	256	873726	1039292	1241519	395147	58209816	4398	9	7499	670976	99.6	0.000	0	0
w2_250k_depth	product	off	cold	stride	250000	500000	4	1	10	2	256	286075	648910	1040820	545779	85392182	2998	9	8245	615200	99.6	0.000	4	4
w2_250k_depth	product_sessions	off	cold	stride	250000	500000	4	1	10	3	256	1246556	1452590	1610115	525296	81822131	3129	9	7039	604636	99.6	0.000	0	0
w2_250k_depth	hybrid_lazyring	off	cold	stride	250000	500000	4	1	11	0	256	2051635	2155522	2311087	832381	131851170	1942	9	5070	676885	99.6	0.000	0	0
w2_250k_depth	product	off	cold	stride	250000	500000	4	1	11	1	256	299851	629810	1113095	554186	88493988	2893	9	8921	432646	99.6	0.000	4	4
w2_250k_depth	product_sessions	off	cold	stride	250000	500000	4	1	11	2	256	1232117	1418644	1542128	512071	80426180	3183	9	5833	280883	99.6	0.000	0	0
w2_250k_depth	pool	off	cold	stride	250000	500000	4	1	11	3	256	862792	988797	1320590	358746	56771937	4509	14	4721	473173	99.6	0.000	0	0
w2_250k_depth	product	off	cold	stride	250000	500000	16	1	0	0	256	298114	573497	813561	517773	81435337	3144	9	6530	463732	99.6	0.000	4	4
w2_250k_depth	product_sessions	off	cold	stride	250000	500000	16	1	0	1	256	8200864	8334120	8631979	840829	131830937	1942	9	4889	513627	99.6	0.000	0	0
w2_250k_depth	pool	off	cold	stride	250000	500000	16	1	0	2	256	3417884	3593270	3738137	393861	54906149	4663	26	5174	742396	99.6	0.000	0	0
w2_250k_depth	hybrid_lazyring	off	cold	stride	250000	500000	16	1	0	3	256	3352131	3581635	3677047	354180	55529388	4610	9	7944	4077342	99.6	0.000	0	0
w2_250k_depth	product_sessions	off	cold	stride	250000	500000	16	1	1	0	256	3481748	4006084	5129005	394457	56778407	4509	9	22093	566135	99.6	0.000	0	0
w2_250k_depth	pool	off	cold	stride	250000	500000	16	1	1	1	256	3354814	3635884	4007362	382011	54646961	4685	26	8693	1195046	99.6	0.000	0	0
w2_250k_depth	hybrid_lazyring	off	cold	stride	250000	500000	16	1	1	2	256	3359291	3602721	3764598	390396	56968182	4494	9	5850	712411	99.6	0.000	0	0
w2_250k_depth	product	off	cold	stride	250000	500000	16	1	1	3	256	380870	964922	1462795	786799	122023755	2098	9	5065	155390	99.6	0.000	4	4
w2_250k_depth	pool	off	cold	stride	250000	500000	16	1	2	0	256	3392864	3634244	3925281	384962	54436381	4703	26	4933	740118	99.6	0.000	0	0
w2_250k_depth	hybrid_lazyring	off	cold	stride	250000	500000	16	1	2	1	256	3328365	3592201	3908478	372181	55220402	4636	9	6604	2929695	99.6	0.000	0	0
w2_250k_depth	product	off	cold	stride	250000	500000	16	1	2	2	256	276385	658437	1156797	554708	86464943	2961	9	7554	358555	99.6	0.000	4	4
w2_250k_depth	product_sessions	off	cold	stride	250000	500000	16	1	2	3	256	8182633	8338681	8598861	825276	131918673	1941	9	6288	847978	99.6	0.000	0	0
w2_250k_depth	hybrid_lazyring	off	cold	stride	250000	500000	16	1	3	0	256	3328821	3598785	3886115	392739	56582321	4524	9	7876	3361595	99.6	0.000	0	0
w2_250k_depth	product	off	cold	stride	250000	500000	16	1	3	1	256	298642	589093	830410	554089	83506945	3066	9	7737	308842	99.6	0.000	4	4
w2_250k_depth	product_sessions	off	cold	stride	250000	500000	16	1	3	2	256	3428515	3987182	5094292	400509	56878866	4501	9	21670	885700	99.6	0.000	0	0
w2_250k_depth	pool	off	cold	stride	250000	500000	16	1	3	3	256	3424196	3634809	4092436	389117	54808852	4671	26	8342	727334	99.6	0.000	0	0
w2_250k_depth	product	off	cold	stride	250000	500000	16	1	4	0	256	283731	649121	1004861	545000	86641508	2955	9	8784	514782	99.6	0.000	4	4
w2_250k_depth	product_sessions	off	cold	stride	250000	500000	16	1	4	1	256	8190344	8332698	8651501	824968	131883926	1941	9	5368	599198	99.6	0.000	0	0
w2_250k_depth	pool	off	cold	stride	250000	500000	16	1	4	2	256	3385202	3592183	3953599	370159	54299983	4715	31	7585	856258	99.6	0.000	0	0
w2_250k_depth	hybrid_lazyring	off	cold	stride	250000	500000	16	1	4	3	256	3821139	5865065	6996313	452495	71073744	3602	9	6553	7342957	99.6	0.000	0	0
w2_250k_depth	product_sessions	off	cold	stride	250000	500000	16	1	5	0	256	3479035	4157737	4980465	398452	57064480	4486	9	25200	1506328	99.6	0.000	0	0
w2_250k_depth	pool	off	cold	stride	250000	500000	16	1	5	1	256	3325653	3833655	5147169	378626	54460882	4701	28	7631	882501	99.6	0.000	0	0
w2_250k_depth	hybrid_lazyring	off	cold	stride	250000	500000	16	1	5	2	256	3385986	3884839	5977512	405079	58339637	4388	9	6306	1903477	99.6	0.000	0	0
w2_250k_depth	product	off	cold	stride	250000	500000	16	1	5	3	256	308991	692154	2585204	692888	108190838	2366	9	6171	336356	99.6	0.000	4	4
w2_250k_depth	pool	off	cold	stride	250000	500000	16	1	6	0	256	3393305	3638704	3928075	385176	54343448	4711	25	5275	650714	99.6	0.000	0	0
w2_250k_depth	hybrid_lazyring	off	cold	stride	250000	500000	16	1	6	1	256	3393656	3728374	5263206	315585	56565239	4526	9	10710	6931779	99.6	0.000	0	0
w2_250k_depth	product	off	cold	stride	250000	500000	16	1	6	2	256	315761	613886	758875	528526	82708925	3095	9	7811	414823	99.6	0.000	4	4
w2_250k_depth	product_sessions	off	cold	stride	250000	500000	16	1	6	3	256	3448241	3954382	4481179	382988	56517480	4530	9	25971	952333	99.6	0.000	0	0
w2_250k_depth	hybrid_lazyring	off	cold	stride	250000	500000	16	1	7	0	256	8171574	8346841	8478653	807813	132074173	1938	9	5027	3071601	99.6	0.000	0	0
w2_250k_depth	product	off	cold	stride	250000	500000	16	1	7	1	256	278352	632044	866762	535030	82256089	3112	9	6278	655400	99.6	0.000	4	4
w2_250k_depth	product_sessions	off	cold	stride	250000	500000	16	1	7	2	256	3578677	5655105	7275803	434313	63960152	4002	9	15969	1424661	99.6	0.000	0	0
w2_250k_depth	pool	off	cold	stride	250000	500000	16	1	7	3	256	3346127	3609166	3941486	357262	54118707	4730	27	6359	1017273	100.0	0.000	0	0
w2_250k_depth	product	off	cold	stride	250000	500000	16	1	8	0	256	297025	601870	1000349	569309	87893961	2913	9	7243	350591	99.6	0.000	4	4
w2_250k_depth	product_sessions	off	cold	stride	250000	500000	16	1	8	1	256	3416566	4112991	5065876	396082	56559051	4526	9	11655	684411	99.6	0.000	0	0
w2_250k_depth	pool	off	cold	stride	250000	500000	16	1	8	2	256	3396547	3549248	3629288	382413	54321380	4713	26	6395	990195	99.6	0.000	0	0
w2_250k_depth	hybrid_lazyring	off	cold	stride	250000	500000	16	1	8	3	256	3368360	3580879	3801892	380583	55185471	4639	9	6185	466199	99.6	0.000	0	0
w2_250k_depth	product_sessions	off	cold	stride	250000	500000	16	1	9	0	256	3468339	3963964	4830431	396301	56534618	4528	9	11285	635528	99.6	0.000	0	0
w2_250k_depth	pool	off	cold	stride	250000	500000	16	1	9	1	256	8186860	8355905	8433041	883107	131887374	1941	26	3662	974504	99.6	0.000	0	0
