layout	temp	arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks	cpu_ns	threads_max	runtime	hop_count
rung_major_stripe	cold	pread_blocking_pooled	frames_16k_big.sbnd	cold	stripe_320	full	16384	1	5120	320	327540	31192	75969	34367	11371097	400	35012	69798	1614	5242880	29102	0	0	0	16698932	6	multi	320
rung_major_stripe	cold	uring_nowait_hybrid	frames_16k_big.sbnd	cold	stripe_320	full	16384	1	5120	320	203269	3304	55659	9161	3221336	297	19793	70995	2238	5242880	343357	0	0	0	6330243	5	multi	3
rung_major_stripe	cold	pread_nowait_chunked	frames_16k_big.sbnd	cold	stripe_320	full	16384	2	5120	320	256219	3456	101502	9484	3307936	270	17761	119630	2593	5242880	166901	0	0	0	6340763	6	multi	3
rung_major_stripe	cold	pread_blocking_pooled	frames_16k_big.sbnd	cold	stripe_320	full	16384	2	5120	320	262872	31293	92052	34012	11182055	320	34164	100079	1781	5242880	29124	0	0	0	16114810	6	multi	320
rung_major_stripe	cold	uring_nowait_hybrid	frames_16k_big.sbnd	cold	stripe_320	full	16384	2	5120	320	217244	3350	66778	9241	3310461	434	16605	219826	1748	5242880	325141	0	0	0	6209069	5	multi	3
rung_major_stripe	cold	pread_nowait_chunked	frames_16k_big.sbnd	cold	stripe_320	full	16384	3	5120	320	203374	3635	63660	10288	3520242	453	18810	78140	1592	5242880	330192	0	0	0	5779464	6	multi	2
rung_major_stripe	cold	pread_blocking_pooled	frames_16k_big.sbnd	cold	stripe_320	full	16384	3	5120	320	316311	45040	85205	44598	14646401	269	31629	118890	2875	5242880	29128	0	0	0	20486696	7	multi	320
rung_major_stripe	cold	uring_nowait_hybrid	frames_16k_big.sbnd	cold	stripe_320	full	16384	3	5120	320	135102	3338	50152	8689	3152897	439	16075	54781	2239	5242880	298367	0	0	0	6408991	5	multi	3
rung_major_stripe	cold	pread_nowait_chunked	frames_16k_big.sbnd	cold	stripe_320	full	16384	4	5120	320	176011	3642	69619	12698	4261163	439	19566	160166	1922	5242880	323675	0	0	0	6547945	6	multi	3
rung_major_stripe	cold	pread_blocking_pooled	frames_16k_big.sbnd	cold	stripe_320	full	16384	4	5120	320	316232	31713	84875	37651	12412047	323	30240	81523	3213	5242880	29001	0	0	0	18723213	6	multi	320
