arm	study	temp	trace	frames	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	stall_mean_ns	stall_max_ns	stall_samples	bytes_copied	cpu_user_us	cpu_sys_us	rss_delta_bytes	hop_p50_ns
mmap_blocking_ahead_2	frames_250k.sbnd	cold	forward	80	914262	156996	448919	192323	16112548	510274	762716	17	0	0	6991	19939328	156852
mmap_naive	frames_250k.sbnd	cold	reverse	80	228931	184973	203847	183273	14712980	14223232	14223232	1	0	82	5240	19939328	0
mmap_blocking_touch	frames_250k.sbnd	cold	reverse	80	515801	209526	268735	210386	17140444	511203	635932	18	0	0	6718	19939328	209750
pread_blocking	frames_250k.sbnd	cold	reverse	80	700289	267669	508485	295410	24054781	504555	788779	25	20000000	0	12205	0	269219
mmap_willneed	frames_250k.sbnd	cold	reverse	80	147527	138272	148551	137684	11030087	10540609	10540609	1	0	0	4824	19939328	0
mmap_willneed_next	frames_250k.sbnd	cold	reverse	80	164058	97010	354765	112765	9077705	8587647	8587647	1	0	0	4798	19939328	0
mmap_blocking_ahead_2	frames_250k.sbnd	cold	reverse	80	1590815	191412	717426	220655	19027217	504393	840587	20	0	0	6916	19939328	191653
mmap_naive	frames_250k.sbnd	cold	random	80	535716	165112	557832	152949	12624263	12135262	12135262	1	0	0	5044	19939328	0
mmap_blocking_touch	frames_250k.sbnd	cold	random	80	538109	177960	304255	149488	12352003	531707	802878	13	0	0	6163	19939328	183053
pread_blocking	frames_250k.sbnd	cold	random	80	672915	247878	465212	273823	22322095	516743	812535	23	20000000	0	12496	0	248002
mmap_willneed	frames_250k.sbnd	cold	random	80	313523	138720	347634	166694	13487597	12998860	12998860	1	0	0	4805	19939328	0
mmap_willneed_next	frames_250k.sbnd	cold	random	80	338059	98127	134453	97525	8047906	7558371	7558371	1	0	0	4691	19939328	0
mmap_blocking_ahead_2	frames_250k.sbnd	cold	random	80	1545766	191036	546449	181766	15909533	560574	1475635	16	0	3642	2862	19939328	193971
mmap_naive	frames_250k.sbnd	warm	forward	80	1117	887	1237	870	72772	634933	634933	1	0	0	101	0	0
mmap_blocking_touch	frames_250k.sbnd	warm	forward	80	251911	10480	12013	10736	1104525	582258	668086	2	0	0	1068	0	10249
pread_blocking	frames_250k.sbnd	warm	forward	80	277941	34885	54019	38135	3307054	591588	842446	4	20000000	3133	0	0	34830
mmap_willneed	frames_250k.sbnd	warm	forward	80	3838	1682	1907	1652	137500	702899	702899	1	0	6	158	0	0
mmap_willneed_next	frames_250k.sbnd	warm	forward	80	4611	2468	2833	2451	201452	767703	767703	1	0	228	0	0	0
mmap_blocking_ahead_2	frames_250k.sbnd	warm	forward	80	198011	10815	17288	11188	1085839	572811	646315	2	0	1045	0	0	10574
mmap_naive	frames_250k.sbnd	warm	reverse	80	292	860	1298	811	67520	632192	632192	1	0	93	0	0	0
mmap_blocking_touch	frames_250k.sbnd	warm	reverse	80	208385	10728	12459	10961	1078634	568867	633543	2	0	1039	0	0	10498
pread_blocking	frames_250k.sbnd	warm	reverse	80	310624	36045	65066	37093	3257355	579083	787306	4	20000000	1452	1716	0	35990
mmap_willneed	frames_250k.sbnd	warm	reverse	80	3186	1711	1874	1661	137651	702726	702726	1	0	0	178	0	0
mmap_willneed_next	frames_250k.sbnd	warm	reverse	80	2975	2451	2604	2394	195369	760603	760603	1	0	0	221	0	0
mmap_blocking_ahead_2	frames_250k.sbnd	warm	reverse	80	88007	10728	14819	10880	951567	1511232	1511232	1	0	0	921	0	10482
mmap_naive	frames_250k.sbnd	warm	random	80	1218	825	1145	816	68403	633456	633456	1	0	0	94	0	0
mmap_blocking_touch	frames_250k.sbnd	warm	random	80	200089	10477	11982	10707	1050203	554595	611632	2	0	0	1016	0	10242
pread_blocking	frames_250k.sbnd	warm	random	80	229757	35381	44549	35107	3019966	519776	558706	4	20000000	0	2963	0	35328
mmap_willneed	frames_250k.sbnd	warm	random	80	4101	1671	2131	1661	138616	706998	706998	1	0	0	175	0	0
mmap_willneed_next	frames_250k.sbnd	warm	random	80	4152	2453	3054	2584	211611	776370	776370	1	0	236	0	0	0
mmap_blocking_ahead_2	frames_250k.sbnd	warm	random	80	245187	10520	32564	11557	1162314	610749	724117	2	0	943	145	0	10264
