arm	study	temp	trace	frames	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	stall_mean_ns	stall_max_ns	stall_samples	bytes_copied	cpu_user_us	cpu_sys_us	rss_delta_bytes	hop_p50_ns
mmap_naive	frames_250k.sbnd	cold	random	80	265743	134258	264425	123642	10038172	9546015	9546015	1	0	0	4868	19939328	0
mmap_blocking_touch	frames_250k.sbnd	cold	random	80	911255	183398	501238	162005	13714253	636455	1222880	13	0	0	6382	19939328	184990
mmap_hybrid_mincore	frames_250k.sbnd	cold	random	80	953423	261071	720409	251624	20835899	652361	1364274	19	0	4097	2727	15089664	284786
mmap_dedicated_pool	frames_250k.sbnd	cold	random	80	630293	177500	689014	184070	15176797	514897	845609	16	0	115	6151	19939328	180570
pread_blocking	frames_250k.sbnd	cold	random	80	566076	268875	538971	314296	25410434	518055	815876	26	20000000	0	12226	0	268982
mmap_naive	frames_250k.sbnd	warm	forward	80	1694	953	1460	947	79637	646406	646406	1	0	0	112	0	0
mmap_blocking_touch	frames_250k.sbnd	warm	forward	80	187558	10585	11764	10865	1050402	554962	612871	2	0	0	1025	0	10358
mmap_hybrid_mincore	frames_250k.sbnd	warm	forward	80	4373	397	674	420	40481	604474	604474	1	0	0	68	0	0
mmap_dedicated_pool	frames_250k.sbnd	warm	forward	80	182857	10134	11210	10176	991163	1549713	1549713	1	0	797	0	0	9909
pread_blocking	frames_250k.sbnd	warm	forward	80	121177	35239	53486	39486	3255452	578597	795675	4	20000000	0	2925	0	35216
mmap_naive	frames_250k.sbnd	warm	reverse	80	236	805	1182	786	65442	631651	631651	1	0	0	95	0	0
mmap_blocking_touch	frames_250k.sbnd	warm	reverse	80	195131	10675	11360	10880	1058890	559498	620809	2	0	0	1037	0	10443
mmap_hybrid_mincore	frames_250k.sbnd	warm	reverse	80	2809	397	740	424	39619	603863	603863	1	0	67	0	0	0
mmap_dedicated_pool	frames_250k.sbnd	warm	reverse	80	146754	10174	11032	10331	967203	1527345	1527345	1	0	57	766	0	9949
pread_blocking	frames_250k.sbnd	warm	reverse	80	268226	35296	46523	35366	3077211	534210	627970	4	20000000	0	3029	0	35235
mmap_naive	frames_250k.sbnd	warm	random	80	1505	825	1184	805	68374	633391	633391	1	0	0	96	0	0
mmap_blocking_touch	frames_250k.sbnd	warm	random	80	198079	10835	20640	11286	1093970	577034	655493	2	0	0	1066	0	10596
mmap_hybrid_mincore	frames_250k.sbnd	warm	random	80	2632	400	765	449	41081	605631	605631	1	0	0	66	0	0
mmap_dedicated_pool	frames_250k.sbnd	warm	random	80	148266	9923	10794	10178	956560	1517106	1517106	1	0	0	822	0	9773
pread_blocking	frames_250k.sbnd	warm	random	80	222130	35792	47027	35645	3053683	528352	595690	4	20000000	0	3009	0	35728
