arm	study	temp	trace	access	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	stall_mean_ns	stall_max_ns	stall_samples	bytes_copied	cpu_user_us	cpu_sys_us	rss_delta_bytes	hop_p50_ns
pread_blocking	frames_250k_live.sbnd	warm	forward	full	320	320	236658	35045	44944	35426	11599967	555119	1137280	12	80000000	0	11323	0	34983
mmap_naive	frames_250k_live.sbnd	warm	reverse	full	320	320	1084	775	1003	805	268109	836204	836204	1	0	295	0	0	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	reverse	full	320	320	261864	10426	11100	10435	3606791	667008	1169759	4	0	79	3239	0	10200
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	reverse	full	320	320	3401	402	536	411	146665	711649	711649	1	0	0	171	0	0
mmap_dedicated_pool	frames_250k_live.sbnd	warm	reverse	full	320	320	220405	10098	11107	10143	3471949	633209	1035340	4	0	75	2962	0	9883
pread_blocking	frames_250k_live.sbnd	warm	reverse	full	320	320	228872	34887	44168	35172	11509482	547581	1047598	12	80000000	4145	7073	0	34820
mmap_naive	frames_250k_live.sbnd	warm	forward	prefix_4k	320	320	315	74	161	78	34892	600021	600021	1	0	0	60	0	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	prefix_4k	320	320	102357	9822	11357	9884	3274538	584109	834499	4	0	62	3008	0	9568
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	forward	prefix_4k	320	320	5411	339	604	369	134861	700511	700511	1	0	4	153	0	0
mmap_dedicated_pool	frames_250k_live.sbnd	warm	forward	prefix_4k	320	320	190045	9472	10523	9481	3232533	573684	793409	4	0	14	2840	0	9235
pread_blocking	frames_250k_live.sbnd	warm	forward	prefix_4k	320	320	253442	10920	11938	10953	3791504	713162	1353891	4	1310720	96	3423	0	10762
mmap_naive	frames_250k_live.sbnd	warm	reverse	prefix_4k	320	320	275	89	160	84	36905	601079	601079	1	0	0	58	0	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	reverse	prefix_4k	320	320	241638	9730	11539	9791	3383476	611159	946088	4	0	3093	0	0	9489
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	reverse	prefix_4k	320	320	2742	337	476	350	126710	690916	690916	1	0	4	143	0	0
mmap_dedicated_pool	frames_250k_live.sbnd	warm	reverse	prefix_4k	320	320	175439	9314	11999	9336	3171201	558035	732281	4	0	78	2699	0	9066
pread_blocking	frames_250k_live.sbnd	warm	reverse	prefix_4k	320	320	245034	10928	12279	11000	3795578	714136	1358866	4	1310720	0	3525	0	10776
mmap_naive	frames_250k_live.sbnd	warm	forward	prefix_64k	320	320	541	291	416	291	103275	673320	673320	1	0	139	0	0	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	forward	prefix_64k	320	320	199353	9817	11259	9812	3346584	601964	907800	4	0	0	3055	0	9592
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	forward	prefix_64k	320	320	2938	352	480	362	128972	697134	697134	1	0	0	160	0	0
mmap_dedicated_pool	frames_250k_live.sbnd	warm	forward	prefix_64k	320	320	198725	9479	11079	9446	3228471	572502	791262	4	0	0	2827	0	9264
pread_blocking	frames_250k_live.sbnd	warm	forward	prefix_64k	320	320	212533	16823	21606	17048	5690132	625095	1246616	6	20971520	4003	1400	0	16671
mmap_naive	frames_250k_live.sbnd	warm	reverse	prefix_64k	320	320	472	282	349	275	97910	667336	667336	1	0	0	131	0	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	reverse	prefix_64k	320	320	186870	9850	11057	9794	3327724	597087	889724	4	0	3031	0	0	9616
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	reverse	prefix_64k	320	320	2803	361	485	366	130342	697652	697652	1	0	5	157	0	0
mmap_dedicated_pool	frames_250k_live.sbnd	warm	reverse	prefix_64k	320	320	154679	9275	10409	9317	3143915	551127	707134	4	0	66	2700	0	9053
pread_blocking	frames_250k_live.sbnd	warm	reverse	prefix_64k	320	320	208177	16622	29154	17857	5945497	668284	1399335	6	20971520	26	5512	0	16480
mmap_naive	frames_250k_live.sbnd	cold	live_cell_scroll	full	320	500	366544	168628	439829	110114	55347731	54873276	54873276	1	0	6383	15026	75083776	0
mmap_blocking_touch	frames_250k_live.sbnd	cold	live_cell_scroll	full	320	500	639479	121493	436383	97823	49482508	531606	1108472	49	0	859	28178	75063296	121499
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	live_cell_scroll	full	320	500	557166	125097	427762	102988	51974536	560870	1471242	50	0	7655	16912	68947968	165845
mmap_dedicated_pool	frames_250k_live.sbnd	cold	live_cell_scroll	full	320	500	645546	104255	338631	83985	42581826	515175	1165504	43	0	3573	17918	74989568	104235
pread_blocking	frames_250k_live.sbnd	cold	live_cell_scroll	full	320	500	434335	96013	461245	114473	57648330	530384	1285225	57	125000000	3641	38191	266240	96021
mmap_naive	frames_250k_live.sbnd	cold	live_cell_scroll	prefix_4k	320	500	639	97704	405699	71598	35754591	35273807	35273807	1	0	0	9459	20078592	0
mmap_blocking_touch	frames_250k_live.sbnd	cold	live_cell_scroll	prefix_4k	320	500	122846	85558	310029	64206	32188609	507729	757883	33	0	176	12914	20082688	85338
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	live_cell_scroll	prefix_4k	320	500	4828	105230	306314	72356	36134208	505771	688471	37	0	164	13217	20090880	110058
mmap_dedicated_pool	frames_250k_live.sbnd	cold	live_cell_scroll	prefix_4k	320	500	44738	85890	319690	64696	32356252	512758	928470	33	0	138	12893	20078592	85659
pread_blocking	frames_250k_live.sbnd	cold	live_cell_scroll	prefix_4k	320	500	136049	37008	57602	29131	14731233	553126	1309287	15	2048000	209	8263	4096	36895
mmap_naive	frames_250k_live.sbnd	cold	live_cell_scroll	prefix_64k	320	500	2170	8992	597684	82464	41175898	40691505	40691505	1	0	129	13523	35618816	0
mmap_blocking_touch	frames_250k_live.sbnd	cold	live_cell_scroll	prefix_64k	320	500	128475	13929	475183	83367	41761115	544446	1328175	41	0	0	17728	35618816	13751
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	live_cell_scroll	prefix_64k	320	500	3794	1834	713547	74588	37247016	535464	1206414	37	0	3960	8569	19849216	183403
mmap_dedicated_pool	frames_250k_live.sbnd	cold	live_cell_scroll	prefix_64k	320	500	54437	17037	792926	116386	58164298	576843	1241567	55	0	0	19429	35618816	17344
pread_blocking	frames_250k_live.sbnd	cold	live_cell_scroll	prefix_64k	320	500	135019	103755	261177	76648	38466245	514077	1053108	39	32768000	0	21189	0	103608
mmap_naive	frames_250k_live.sbnd	warm	live_cell_scroll	full	320	500	2288	878	2231	966	512502	1102489	1102489	1	0	14	565	0	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	live_cell_scroll	full	320	500	180812	12247	22351	13263	6838380	630249	1409435	7	0	61	6346	0	12037
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	live_cell_scroll	full	320	500	6124	644	1034	648	356705	941820	941820	1	0	13	398	0	0
mmap_dedicated_pool	frames_250k_live.sbnd	warm	live_cell_scroll	full	320	500	45248	11681	20572	12013	6084778	523196	664397	7	0	4047	1747	0	11423
pread_blocking	frames_250k_live.sbnd	warm	live_cell_scroll	full	320	500	287185	36945	48416	37538	19097825	508839	656528	20	125000000	4000	14874	0	36805
mmap_naive	frames_250k_live.sbnd	warm	live_cell_scroll	prefix_4k	320	500	384	34	200	57	43879	613554	613554	1	0	0	79	0	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	live_cell_scroll	prefix_4k	320	500	345072	10024	11158	10110	5420075	579855	979564	6	0	3923	1161	0	9832
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	live_cell_scroll	prefix_4k	320	500	3824	330	492	344	193570	759265	759265	1	0	218	0	0	0
mmap_dedicated_pool	frames_250k_live.sbnd	warm	live_cell_scroll	prefix_4k	320	500	28826	9641	16400	9663	4878839	688969	1441098	5	0	4477	0	0	9404
pread_blocking	frames_250k_live.sbnd	warm	live_cell_scroll	prefix_4k	320	500	181764	10952	13058	11093	5780162	639940	1340851	6	2048000	4100	1338	0	10818
mmap_naive	frames_250k_live.sbnd	warm	live_cell_scroll	prefix_64k	320	500	568	271	539	217	123955	690355	690355	1	0	7	145	0	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	live_cell_scroll	prefix_64k	320	500	524425	10298	12288	10416	5748804	634821	1310928	6	0	5421	0	0	10103
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	live_cell_scroll	prefix_64k	320	500	3385	380	629	397	221809	784027	784027	1	0	12	235	0	0
mmap_dedicated_pool	frames_250k_live.sbnd	warm	live_cell_scroll	prefix_64k	320	500	51916	9794	15425	9990	5079055	523137	641733	6	0	4077	651	0	9555
pread_blocking	frames_250k_live.sbnd	warm	live_cell_scroll	prefix_64k	320	500	96936	16944	20975	17190	8734260	588286	1290363	9	32768000	3844	4551	0	16825
