arm	fixture	rtt_ms	depth	run	mbps	p95_wait_ms	peak_outstanding	asks_sent
P	frames_32k	20	4	1	4.301	0.00	4	88
P	frames_32k	20	4	2	4.250	0.00	4	87
P	frames_32k	20	4	3	4.148	0.00	4	85
P	frames_32k	20	6	1	6.145	0.00	6	126
P	frames_32k	20	6	2	5.940	0.00	6	122
P	frames_32k	20	6	3	5.633	0.00	6	116
P	frames_32k	20	8	1	7.323	0.00	8	151
P	frames_32k	20	8	2	7.476	0.00	8	154
P	frames_32k	20	8	3	7.220	0.00	8	149
P	frames_32k	20	12	1	7.323	0.00	12	155
P	frames_32k	20	12	2	7.630	0.00	12	161
P	frames_32k	20	12	3	7.783	0.00	12	163
P	frames_32k	20	16	1	7.835	0.00	16	169
P	frames_32k	20	16	2	7.783	0.00	16	168
P	frames_32k	20	16	3	7.630	0.00	16	165
Q	frames_32k	20	1	1	1.024	0.00	1	21
Q	frames_32k	20	1	2	1.024	0.00	1	21
Q	frames_32k	20	1	3	1.024	0.00	1	21
Q	frames_32k	20	2	1	2.355	0.00	2	48
Q	frames_32k	20	2	2	2.407	0.00	2	49
Q	frames_32k	20	2	3	2.304	0.00	2	47
Q	frames_32k	20	3	1	3.738	0.00	3	76
Q	frames_32k	20	3	2	3.636	0.00	3	74
Q	frames_32k	20	3	3	3.789	0.00	3	77
Q	frames_32k	20	4	1	4.865	0.00	4	99
Q	frames_32k	20	4	2	5.018	0.00	4	102
Q	frames_32k	20	4	3	4.967	0.00	4	101
Q	frames_32k	20	6	1	7.220	0.00	6	147
Q	frames_32k	20	6	2	6.708	0.00	6	137
Q	frames_32k	20	6	3	7.169	0.00	6	146
Q	frames_32k	20	8	1	8.091	0.00	8	166
Q	frames_32k	20	8	2	8.193	0.00	8	168
Q	frames_32k	20	8	3	8.193	0.00	8	168
Q	frames_32k	20	12	1	8.039	0.00	12	169
Q	frames_32k	20	12	2	8.193	0.00	12	171
Q	frames_32k	20	12	3	8.091	0.00	12	170
Q	frames_32k	20	16	1	8.091	0.00	16	174
Q	frames_32k	20	16	2	8.091	0.00	16	174
Q	frames_32k	20	16	3	8.142	0.00	16	175
S	frames_250k	60	1	1	4.400	0.00	1	12
S	frames_250k	60	1	2	4.400	0.00	1	12
S	frames_250k	60	1	3	4.400	0.00	1	12
S	frames_250k	60	2	1	7.600	0.00	2	21
S	frames_250k	60	2	2	7.600	0.00	2	21
S	frames_250k	60	2	3	8.000	0.00	2	22
S	frames_250k	60	3	1	7.600	0.00	3	22
S	frames_250k	60	3	2	7.600	0.00	3	22
S	frames_250k	60	3	3	7.600	0.00	3	22
S	frames_250k	60	4	1	7.600	0.00	4	23
S	frames_250k	60	4	2	7.600	0.00	4	23
S	frames_250k	60	4	3	7.600	0.00	4	23
S	frames_250k	60	6	1	7.600	0.00	6	25
S	frames_250k	60	6	2	7.200	0.00	6	24
S	frames_250k	60	6	3	7.200	0.00	6	24
S	frames_250k	60	8	1	7.200	0.00	8	26
S	frames_250k	60	8	2	7.200	0.00	8	26
S	frames_250k	60	8	3	7.200	0.00	8	26
S	frames_250k	60	12	1	6.800	0.00	12	29
S	frames_250k	60	12	2	0.800	0.00	12	14
S	frames_250k	60	12	3	4.000	0.00	12	22
S	frames_250k	60	16	1	0.400	0.00	16	17
S	frames_250k	60	16	2	0.400	0.00	16	17
S	frames_250k	60	16	3	8.000	0.00	16	35
P	frames_250k	60	1	1	4.000	0.00	1	11
P	frames_250k	60	1	2	4.400	0.00	1	12
