cell	link	study	ask_cell	stream_mode	metric	stat	arm_a	arm_b	a_us	b_us	delta_us	ratio	p_perm
local-250k-ondemand-shared	direct	frames_250k	ondemand	shared	ask_to_complete_us	p95	wasm	ts	2824.2	2675.0	-149.2	0.947	0.13852813852813853
local-250k-ondemand-shared	direct	frames_250k	ondemand	shared	total_us	median	wasm	ts	2157.5	2080.0	-77.5	0.964	0.0670995670995671
local-250k-ondemand-shared	direct	frames_250k	ondemand	shared	total_us	p95	wasm	ts	2918.3	2728.3	-190.0	0.935	0.049783549783549784
local-32k-ondemand	direct	frames_32k	ondemand	per-frame	deliver_us	median	wasm	ts	187.5	130.0	-57.5	0.693	0.0021645021645021645
local-32k-ondemand	direct	frames_32k	ondemand	per-frame	deliver_us	p95	wasm	ts	279.2	190.8	-88.3	0.684	0.0021645021645021645
local-32k-ondemand	direct	frames_32k	ondemand	per-frame	serve_plus_path_us	median	wasm	ts	1306.7	1246.7	-60.0	0.954	0.4458874458874459
local-32k-ondemand	direct	frames_32k	ondemand	per-frame	serve_plus_path_us	p95	wasm	ts	1720.8	1606.7	-114.2	0.934	0.1645021645021645
local-32k-ondemand	direct	frames_32k	ondemand	per-frame	transfer_us	median	wasm	ts	125.0	72.5	-52.5	0.58	0.6666666666666666
local-32k-ondemand	direct	frames_32k	ondemand	per-frame	transfer_us	p95	wasm	ts	130.0	72.5	-57.5	0.558	0.5333333333333333
local-32k-ondemand	direct	frames_32k	ondemand	per-frame	ask_to_complete_us	median	wasm	ts	1503.3	1380.0	-123.3	0.918	0.16233766233766234
local-32k-ondemand	direct	frames_32k	ondemand	per-frame	ask_to_complete_us	p95	wasm	ts	1959.2	1759.2	-200.0	0.898	0.04329004329004329
local-32k-ondemand	direct	frames_32k	ondemand	per-frame	total_us	median	wasm	ts	1576.7	1430.0	-146.7	0.907	0.09956709956709957
local-32k-ondemand	direct	frames_32k	ondemand	per-frame	total_us	p95	wasm	ts	2036.7	1815.8	-220.8	0.892	0.03463203463203463
shaped150-250k-ondemand	shim	frames_250k	ondemand	per-frame	deliver_us	median	wasm	ts	392.5	342.5	-50.0	0.873	0.02857142857142857
shaped150-250k-ondemand	shim	frames_250k	ondemand	per-frame	deliver_us	p95	wasm	ts	513.8	432.5	-81.2	0.842	0.02857142857142857
shaped150-250k-ondemand	shim	frames_250k	ondemand	per-frame	serve_plus_path_us	median	wasm	ts	154287.5	154256.2	-31.2	1.0	0.34285714285714286
shaped150-250k-ondemand	shim	frames_250k	ondemand	per-frame	serve_plus_path_us	p95	wasm	ts	155117.5	154918.8	-198.8	0.999	0.2571428571428571
shaped150-250k-ondemand	shim	frames_250k	ondemand	per-frame	transfer_us	median	wasm	ts	201583.8	201696.2	112.5	1.001	0.05714285714285714
shaped150-250k-ondemand	shim	frames_250k	ondemand	per-frame	transfer_us	p95	wasm	ts	202518.8	202656.2	137.5	1.001	0.22857142857142856
shaped150-250k-ondemand	shim	frames_250k	ondemand	per-frame	ask_to_complete_us	median	wasm	ts	356295.0	356268.8	-26.2	1.0	0.5714285714285714
shaped150-250k-ondemand	shim	frames_250k	ondemand	per-frame	ask_to_complete_us	p95	wasm	ts	357067.5	356960.0	-107.5	1.0	0.2857142857142857
shaped150-250k-ondemand	shim	frames_250k	ondemand	per-frame	total_us	median	wasm	ts	356480.0	356402.5	-77.5	1.0	0.17142857142857143
shaped150-250k-ondemand	shim	frames_250k	ondemand	per-frame	total_us	p95	wasm	ts	644743.8	646940.0	2196.2	1.003	0.6
shaped20-250k-ondemand	shim	frames_250k	ondemand	per-frame	deliver_us	median	wasm	ts	387.5	333.8	-53.8	0.861	0.02857142857142857
shaped20-250k-ondemand	shim	frames_250k	ondemand	per-frame	deliver_us	p95	wasm	ts	503.8	447.5	-56.2	0.888	0.02857142857142857
shaped20-250k-ondemand	shim	frames_250k	ondemand	per-frame	serve_plus_path_us	median	wasm	ts	24513.8	24446.2	-67.5	0.997	0.42857142857142855
shaped20-250k-ondemand	shim	frames_250k	ondemand	per-frame	serve_plus_path_us	p95	wasm	ts	25001.2	25057.5	56.2	1.002	0.6857142857142857
shaped20-250k-ondemand	shim	frames_250k	ondemand	per-frame	transfer_us	median	wasm	ts	202521.2	202717.5	196.2	1.001	0.3142857142857143
shaped20-250k-ondemand	shim	frames_250k	ondemand	per-frame	transfer_us	p95	wasm	ts	221746.2	228476.2	6730.0	1.03	0.02857142857142857
shaped20-250k-ondemand	shim	frames_250k	ondemand	per-frame	ask_to_complete_us	median	wasm	ts	227427.5	227555.0	127.5	1.001	0.6571428571428571
shaped20-250k-ondemand	shim	frames_250k	ondemand	per-frame	ask_to_complete_us	p95	wasm	ts	246522.5	253520.0	6997.5	1.028	0.02857142857142857
shaped20-250k-ondemand	shim	frames_250k	ondemand	per-frame	total_us	median	wasm	ts	227521.2	227633.8	112.5	1.0	0.7714285714285715
shaped20-250k-ondemand	shim	frames_250k	ondemand	per-frame	total_us	p95	wasm	ts	246613.8	253678.8	7065.0	1.029	0.02857142857142857
shaped60-250k-fill	shim	frames_250k	fill	per-frame	deliver_us	median	wasm	ts	45175.0	38847.0	-6328.0	0.86	0.3888888888888889
shaped60-250k-fill	shim	frames_250k	fill	per-frame	deliver_us	p95	wasm	ts	226666.0	200592.0	-26074.0	0.885	0.4126984126984127
shaped60-250k-fill	shim	frames_250k	fill	per-frame	serve_plus_path_us	median	wasm	ts	197068.0	198755.0	1687.0	1.009	0.10317460317460317
shaped60-250k-fill	shim	frames_250k	fill	per-frame	serve_plus_path_us	p95	wasm	ts	231170.0	233082.0	1912.0	1.008	0.6190476190476191
shaped60-250k-fill	shim	frames_250k	fill	per-frame	transfer_us	median	wasm	ts	8130964.0	8131958.0	994.0	1.0	0.9126984126984127
shaped60-250k-fill	shim	frames_250k	fill	per-frame	transfer_us	p95	wasm	ts	8222972.0	8230537.0	7565.0	1.001	0.23809523809523808
shaped60-250k-fill	shim	frames_250k	fill	per-frame	ask_to_complete_us	median	wasm	ts	8315373.0	8329663.0	14290.0	1.002	0.06349206349206349
shaped60-250k-fill	shim	frames_250k	fill	per-frame	ask_to_complete_us	p95	wasm	ts	8368199.0	8368405.0	206.0	1.0	0.9603174603174603
shaped60-250k-fill	shim	frames_250k	fill	per-frame	total_us	median	wasm	ts	8316172.0	8330124.0	13952.0	1.002	0.07142857142857142
shaped60-250k-fill	shim	frames_250k	fill	per-frame	total_us	p95	wasm	ts	8368998.0	8368866.0	-132.0	1.0	0.9682539682539683
shaped60-250k-ondemand	shim	frames_250k	ondemand	per-frame	deliver_us	median	wasm	ts	387.0	337.0	-50.0	0.871	0.007936507936507936
shaped60-250k-ondemand	shim	frames_250k	ondemand	per-frame	deliver_us	p95	wasm	ts	520.0	459.0	-61.0	0.883	0.031746031746031744
shaped60-250k-ondemand	shim	frames_250k	ondemand	per-frame	serve_plus_path_us	median	wasm	ts	64926.0	64803.0	-123.0	0.998	0.007936507936507936
shaped60-250k-ondemand	shim	frames_250k	ondemand	per-frame	serve_plus_path_us	p95	wasm	ts	65370.0	65442.0	72.0	1.001	0.031746031746031744
shaped60-250k-ondemand	shim	frames_250k	ondemand	per-frame	transfer_us	median	wasm	ts	201658.0	201662.0	4.0	1.0	0.9444444444444444
shaped60-250k-ondemand	shim	frames_250k	ondemand	per-frame	transfer_us	p95	wasm	ts	275359.0	267878.0	-7481.0	0.973	0.2619047619047619
shaped60-250k-ondemand	shim	frames_250k	ondemand	per-frame	ask_to_complete_us	median	wasm	ts	266941.0	266814.0	-127.0	1.0	0.007936507936507936
shaped60-250k-ondemand	shim	frames_250k	ondemand	per-frame	ask_to_complete_us	p95	wasm	ts	340571.0	332991.0	-7580.0	0.978	0.2777777777777778
shaped60-250k-ondemand	shim	frames_250k	ondemand	per-frame	total_us	median	wasm	ts	267076.0	266902.0	-174.0	0.999	0.007936507936507936
shaped60-250k-ondemand	shim	frames_250k	ondemand	per-frame	total_us	p95	wasm	ts	340685.0	336569.0	-4116.0	0.988	0.5317460317460317
